91.148.0.0,91.148.63.255,business,SK,AS31117 
91.148.244.0,91.148.245.127,business,NL,AS34343 
91.148.245.128,91.148.245.255,business,GB,AS34343 
91.148.246.0,91.148.246.31,hosting,IN,AS34343 
91.148.246.32,91.148.246.63,business,NL,AS34343 
91.148.246.64,91.148.246.95,hosting,IN,AS34343 
91.148.246.96,91.148.246.127,hosting,BE,AS34343 
91.148.246.128,91.148.246.159,hosting,DK,AS34343 
91.148.246.160,91.148.246.191,hosting,ZA,AS34343 
91.148.246.192,91.148.246.223,hosting,GB,AS34343 
91.148.246.224,91.148.246.255,hosting,RU,AS34343 
91.148.247.0,91.148.247.143,business,NL,AS34343 
91.148.247.144,91.148.247.159,business,RS,AS34343 
91.148.247.160,91.148.247.175,business,IE,AS34343 
91.148.247.176,91.148.247.191,business,FI,AS34343 
91.148.247.192,91.148.247.207,business,IL,AS34343 
91.148.247.208,91.148.247.223,business,ES,AS34343 
91.148.247.224,91.148.247.239,business,CZ,AS34343 
91.148.247.240,91.148.247.255,business,IS,AS34343 
91.148.248.0,91.148.253.255,business,NL,AS34343 
91.148.254.0,91.148.254.127,business,NL, 
91.148.254.128,91.148.254.255,business,NL,AS34343 
91.148.255.0,91.148.255.255,business,NL, 
