138.128.0.0,138.128.36.255,business,US, 
138.128.189.24,138.128.189.31,education,US,AS33182 
138.128.189.32,138.128.191.175,hosting,US,AS33182 
138.128.191.176,138.128.191.191,hosting,MX,AS33182 
138.128.191.192,138.128.191.255,hosting,US,AS33182 
138.128.192.0,138.128.215.255,hosting,US,AS25820 
138.128.216.0,138.128.219.255,hosting,NL,AS25820 
138.128.220.0,138.128.223.255,hosting,US,AS25820 
138.128.224.0,138.128.227.255,hosting,AE,AS200315 
138.128.228.0,138.128.229.255,isp,US,AS46456 
138.128.230.0,138.128.231.255,isp,US,AS396264 
138.128.232.0,138.128.239.255,isp,US,AS16832 
138.128.240.0,138.128.241.255,hosting,US,AS36007 
138.128.242.0,138.128.244.255,hosting,US,AS396949 
138.128.245.0,138.128.246.255,hosting,US,AS396948 
138.128.247.0,138.128.247.255,hosting,US,AS36007 
138.128.248.0,138.128.251.255,business,US,AS396000 
138.128.252.0,138.128.255.255,hosting,US,AS64260 
