82.139.0.0,82.139.63.255,isp,PL,AS29314 
82.139.217.128,82.139.217.191,business,DE,AS8820 
82.139.217.192,82.139.217.255,hosting,DE,AS8820 
82.139.218.0,82.139.218.47,business,DE,AS8820 
82.139.218.48,82.139.218.63,hosting,DE,AS8820 
82.139.218.64,82.139.218.127,business,DE,AS8820 
82.139.218.128,82.139.218.191,hosting,DE,AS8820 
82.139.218.192,82.139.219.31,business,DE,AS8820 
82.139.219.32,82.139.219.63,hosting,DE,AS8820 
82.139.219.64,82.139.219.191,business,DE,AS8820 
82.139.219.192,82.139.220.255,hosting,DE,AS8820 
82.139.221.0,82.139.221.255,business,DE,AS8820 
82.139.222.0,82.139.225.255,hosting,DE,AS8820 
82.139.226.0,82.139.227.255,business,DE,AS8820 
82.139.228.0,82.139.228.127,hosting,DE,AS8820 
82.139.228.128,82.139.229.255,business,DE,AS8820 
82.139.230.0,82.139.231.63,hosting,DE,AS8820 
82.139.231.64,82.139.231.159,business,DE,AS8820 
82.139.231.160,82.139.231.191,hosting,DE,AS8820 
82.139.231.192,82.139.231.223,business,DE,AS8820 
82.139.231.224,82.139.231.255,hosting,DE,AS8820 
82.139.232.0,82.139.233.63,business,DE,AS8820 
82.139.233.64,82.139.233.127,hosting,DE,AS8820 
82.139.233.128,82.139.233.159,business,DE,AS8820 
82.139.233.160,82.139.233.191,hosting,DE,AS8820 
82.139.233.192,82.139.233.223,business,DE,AS8820 
82.139.233.224,82.139.235.15,hosting,DE,AS8820 
82.139.235.16,82.139.235.23,business,DE,AS8820 
82.139.235.24,82.139.235.31,hosting,DE,AS8820 
82.139.235.32,82.139.235.63,business,DE,AS8820 
82.139.235.64,82.139.235.255,hosting,DE,AS8820 
82.139.236.0,82.139.236.255,business,DE,AS8820 
82.139.237.0,82.139.237.255,hosting,DE,AS8820 
82.139.238.0,82.139.239.255,business,DE,AS8820 
82.139.240.0,82.139.240.63,hosting,DE,AS8820 
82.139.240.64,82.139.240.127,business,DE,AS8820 
82.139.240.128,82.139.240.255,hosting,DE,AS8820 
82.139.241.0,82.139.241.127,business,DE,AS8820 
82.139.241.128,82.139.241.191,hosting,DE,AS8820 
82.139.241.192,82.139.241.255,business,DE,AS8820 
82.139.242.0,82.139.242.63,hosting,DE,AS8820 
82.139.242.64,82.139.242.255,business,DE,AS8820 
82.139.243.0,82.139.245.255,hosting,DE,AS8820 
82.139.246.0,82.139.246.31,business,DE,AS8820 
82.139.246.32,82.139.246.127,hosting,DE,AS8820 
82.139.246.128,82.139.246.255,business,DE,AS8820 
82.139.247.0,82.139.247.255,hosting,DE,AS8820 
82.139.248.0,82.139.248.63,business,DE,AS8820 
82.139.248.64,82.139.248.127,hosting,DE,AS8820 
82.139.248.128,82.139.248.191,business,DE,AS8820 
82.139.248.192,82.139.249.255,hosting,DE,AS8820 
82.139.250.0,82.139.250.191,business,DE,AS8820 
82.139.250.192,82.139.251.95,hosting,DE,AS8820 
82.139.251.96,82.139.251.127,business,DE,AS8820 
82.139.251.128,82.139.251.255,hosting,DE,AS8820 
82.139.252.0,82.139.252.15,business,DE,AS8820 
82.139.252.16,82.139.252.31,hosting,DE,AS8820 
82.139.252.32,82.139.252.35,business,DE,AS8820 
82.139.252.36,82.139.252.36,hosting,DE,AS8820 
82.139.252.37,82.139.252.37,business,DE,AS8820 
82.139.252.38,82.139.252.39,hosting,DE,AS8820 
82.139.252.40,82.139.252.47,business,DE,AS8820 
82.139.252.48,82.139.252.51,hosting,DE,AS8820 
82.139.252.52,82.139.252.55,business,DE,AS8820 
82.139.252.56,82.139.252.63,hosting,DE,AS8820 
82.139.252.64,82.139.252.79,business,DE,AS8820 
82.139.252.80,82.139.252.95,hosting,DE,AS8820 
82.139.252.96,82.139.252.111,business,DE,AS8820 
82.139.252.112,82.139.252.138,hosting,DE,AS8820 
82.139.252.139,82.139.252.143,business,DE,AS8820 
82.139.252.144,82.139.252.175,hosting,DE,AS8820 
82.139.252.176,82.139.252.199,business,DE,AS8820 
82.139.252.200,82.139.252.223,hosting,DE,AS8820 
82.139.252.224,82.139.252.255,business,DE,AS8820 
82.139.253.0,82.139.253.255,hosting,DE,AS8820 
82.139.254.0,82.139.254.15,business,DE,AS8820 
82.139.254.16,82.139.254.19,hosting,DE,AS8820 
82.139.254.20,82.139.254.23,business,DE,AS8820 
82.139.254.24,82.139.254.39,hosting,DE,AS8820 
82.139.254.40,82.139.254.71,business,DE,AS8820 
82.139.254.72,82.139.254.75,hosting,DE,AS8820 
82.139.254.76,82.139.254.127,business,DE,AS8820 
82.139.254.128,82.139.254.135,hosting,DE,AS8820 
82.139.254.136,82.139.254.151,business,DE,AS8820 
82.139.254.152,82.139.254.167,hosting,DE,AS8820 
82.139.254.168,82.139.254.175,business,DE,AS8820 
82.139.254.176,82.139.254.183,isp,DE,AS8820 
82.139.254.184,82.139.254.223,hosting,DE,AS8820 
82.139.254.224,82.139.254.239,business,US,AS8820 
82.139.254.240,82.139.254.255,hosting,DE,AS8820 
82.139.255.0,82.139.255.3,business,DE,AS8820 
82.139.255.4,82.139.255.15,hosting,DE,AS8820 
82.139.255.16,82.139.255.23,business,DE,AS8820 
82.139.255.24,82.139.255.39,hosting,DE,AS8820 
82.139.255.40,82.139.255.87,business,DE,AS8820 
82.139.255.88,82.139.255.95,hosting,DE,AS8820 
82.139.255.96,82.139.255.135,business,DE,AS8820 
82.139.255.136,82.139.255.143,hosting,DE,AS8820 
82.139.255.144,82.139.255.159,business,DE,AS8820 
82.139.255.160,82.139.255.167,hosting,DE,AS8820 
82.139.255.168,82.139.255.175,business,DE,AS8820 
82.139.255.176,82.139.255.255,hosting,DE,AS8820 
