82.198.0.0,82.198.12.255,business,LT,AS30721 
82.198.189.128,82.198.189.223,business,RU,AS30733 
82.198.189.224,82.198.189.247,isp,RU,AS30733 
82.198.189.248,82.198.190.7,business,RU,AS30733 
82.198.190.8,82.198.190.31,isp,RU,AS30733 
82.198.190.32,82.198.190.47,business,RU,AS30733 
82.198.190.48,82.198.190.135,isp,RU,AS30733 
82.198.190.136,82.198.190.143,business,RU,AS30733 
82.198.190.144,82.198.190.175,isp,RU,AS30733 
82.198.190.176,82.198.190.207,business,RU,AS30733 
82.198.190.208,82.198.190.215,isp,RU,AS30733 
82.198.190.216,82.198.190.223,business,RU,AS30733 
82.198.190.224,82.198.191.7,isp,RU,AS30733 
82.198.191.8,82.198.191.55,business,RU,AS30733 
82.198.191.56,82.198.191.79,isp,RU,AS30733 
82.198.191.80,82.198.191.127,business,RU,AS30733 
82.198.191.128,82.198.191.175,isp,RU,AS30733 
82.198.191.176,82.198.191.215,business,RU,AS30733 
82.198.191.216,82.198.191.223,isp,RU,AS30733 
82.198.191.224,82.198.191.231,business,RU,AS30733 
82.198.191.232,82.198.191.247,isp,RU,AS30733 
82.198.191.248,82.198.191.255,business,RU,AS30733 
82.198.192.0,82.198.195.255,hosting,DE,AS30742 
82.198.196.0,82.198.196.127,business,DE,AS30742 
82.198.196.128,82.198.203.255,hosting,DE,AS30742 
82.198.204.0,82.198.204.239,business,DE,AS30742 
82.198.204.240,82.198.206.63,hosting,DE,AS30742 
82.198.206.64,82.198.206.95,business,DE,AS30742 
82.198.206.96,82.198.216.255,hosting,DE,AS30742 
82.198.217.0,82.198.217.15,business,DE,AS30742 
82.198.217.16,82.198.219.255,hosting,DE,AS30742 
82.198.220.0,82.198.220.255,business,DE,AS30742 
82.198.221.0,82.198.221.127,hosting,DE,AS30742 
82.198.221.128,82.198.221.175,business,DE,AS30742 
82.198.221.176,82.198.223.191,hosting,DE,AS30742 
82.198.223.192,82.198.223.255,business,DE,AS30742 
82.198.224.0,82.198.229.255,business,GB, 
82.198.230.0,82.198.230.63,education,GB, 
82.198.230.64,82.198.230.87,business,GB, 
82.198.230.88,82.198.230.159,education,GB, 
82.198.230.160,82.198.236.63,business,GB, 
82.198.236.64,82.198.236.95,isp,GB, 
82.198.236.96,82.198.241.255,business,GB, 
82.198.242.0,82.198.242.255,isp,GB, 
82.198.243.0,82.198.252.127,business,GB, 
82.198.252.128,82.198.252.255,isp,GB, 
82.198.253.0,82.198.255.255,business,GB, 
