82.130.0.0,82.130.63.255,education,FI,AS39857 
82.130.143.112,82.130.143.112,isp,ES,AS12338 
82.130.143.113,82.130.143.114,business,ES,AS12338 
82.130.143.115,82.130.143.117,isp,ES,AS12338 
82.130.143.118,82.130.143.118,business,ES,AS12338 
82.130.143.119,82.130.143.120,isp,ES,AS12338 
82.130.143.121,82.130.143.121,business,ES,AS12338 
82.130.143.122,82.130.143.171,isp,ES,AS12338 
82.130.143.172,82.130.143.175,education,ES,AS12338 
82.130.143.176,82.130.143.183,isp,ES,AS12338 
82.130.143.184,82.130.143.192,business,ES,AS12338 
82.130.143.193,82.130.143.194,isp,ES,AS12338 
82.130.143.195,82.130.143.196,business,ES,AS12338 
82.130.143.197,82.130.143.197,isp,ES,AS12338 
82.130.143.198,82.130.143.198,business,ES,AS12338 
82.130.143.199,82.130.143.200,isp,ES,AS12338 
82.130.143.201,82.130.143.201,business,ES,AS12338 
82.130.143.202,82.130.143.205,isp,ES,AS12338 
82.130.143.206,82.130.143.206,business,ES,AS12338 
82.130.143.207,82.130.143.222,isp,ES,AS12338 
82.130.143.223,82.130.143.223,business,ES,AS12338 
82.130.143.224,82.130.143.227,isp,ES,AS12338 
82.130.143.228,82.130.143.228,business,ES,AS12338 
82.130.143.229,82.130.194.166,isp,ES,AS12338 
82.130.194.167,82.130.194.167,business,ES,AS12338 
82.130.194.168,82.130.194.174,isp,ES,AS12338 
82.130.194.175,82.130.194.175,business,ES,AS12338 
82.130.194.176,82.130.194.180,isp,ES,AS12338 
82.130.194.181,82.130.194.181,business,ES,AS12338 
82.130.194.182,82.130.194.191,isp,ES,AS12338 
82.130.194.192,82.130.194.193,business,ES,AS12338 
82.130.194.194,82.130.194.195,isp,ES,AS12338 
82.130.194.196,82.130.194.197,business,ES,AS12338 
82.130.194.198,82.130.194.199,isp,ES,AS12338 
82.130.194.200,82.130.194.200,business,ES,AS12338 
82.130.194.201,82.130.194.202,isp,ES,AS12338 
82.130.194.203,82.130.194.203,business,ES,AS12338 
82.130.194.204,82.130.195.7,isp,ES,AS12338 
82.130.195.8,82.130.195.15,business,ES,AS12338 
82.130.195.16,82.130.195.31,isp,ES,AS12338 
82.130.195.32,82.130.195.32,business,ES,AS12338 
82.130.195.33,82.130.195.41,isp,ES,AS12338 
82.130.195.42,82.130.195.42,business,ES,AS12338 
82.130.195.43,82.130.195.45,isp,ES,AS12338 
82.130.195.46,82.130.195.46,business,ES,AS12338 
82.130.195.47,82.130.195.51,isp,ES,AS12338 
82.130.195.52,82.130.195.52,business,ES,AS12338 
82.130.195.53,82.130.195.55,isp,ES,AS12338 
82.130.195.56,82.130.195.56,business,ES,AS12338 
82.130.195.57,82.130.195.61,isp,ES,AS12338 
82.130.195.62,82.130.195.62,business,ES,AS12338 
82.130.195.63,82.130.195.69,isp,ES,AS12338 
82.130.195.70,82.130.195.70,business,ES,AS12338 
82.130.195.71,82.130.195.71,isp,ES,AS12338 
82.130.195.72,82.130.195.73,business,ES,AS12338 
82.130.195.74,82.130.195.74,isp,ES,AS12338 
82.130.195.75,82.130.195.76,business,ES,AS12338 
82.130.195.77,82.130.195.77,isp,ES,AS12338 
82.130.195.78,82.130.195.78,business,ES,AS12338 
82.130.195.79,82.130.195.81,isp,ES,AS12338 
82.130.195.82,82.130.195.82,business,ES,AS12338 
82.130.195.83,82.130.195.93,isp,ES,AS12338 
82.130.195.94,82.130.195.94,business,ES,AS12338 
82.130.195.95,82.130.195.96,isp,ES,AS12338 
82.130.195.97,82.130.195.98,business,ES,AS12338 
82.130.195.99,82.130.195.104,isp,ES,AS12338 
82.130.195.105,82.130.195.105,education,ES,AS12338 
82.130.195.106,82.130.195.115,isp,ES,AS12338 
82.130.195.116,82.130.195.116,business,ES,AS12338 
82.130.195.117,82.130.195.118,isp,ES,AS12338 
82.130.195.119,82.130.195.120,business,ES,AS12338 
82.130.195.121,82.130.195.127,isp,ES,AS12338 
82.130.195.128,82.130.195.128,business,ES,AS12338 
82.130.195.129,82.130.195.129,isp,ES,AS12338 
82.130.195.130,82.130.195.130,business,ES,AS12338 
82.130.195.131,82.130.195.131,isp,ES,AS12338 
82.130.195.132,82.130.195.132,business,ES,AS12338 
82.130.195.133,82.130.195.142,isp,ES,AS12338 
82.130.195.143,82.130.195.143,business,ES,AS12338 
82.130.195.144,82.130.195.147,isp,ES,AS12338 
82.130.195.148,82.130.195.150,business,ES,AS12338 
82.130.195.151,82.130.195.165,isp,ES,AS12338 
82.130.195.166,82.130.195.167,business,ES,AS12338 
82.130.195.168,82.130.195.169,isp,ES,AS12338 
82.130.195.170,82.130.195.172,business,ES,AS12338 
82.130.195.173,82.130.195.173,isp,ES,AS12338 
82.130.195.174,82.130.195.175,business,ES,AS12338 
82.130.195.176,82.130.195.191,isp,ES,AS12338 
82.130.195.192,82.130.195.192,business,ES,AS12338 
82.130.195.193,82.130.195.209,isp,ES,AS12338 
82.130.195.210,82.130.195.210,business,ES,AS12338 
82.130.195.211,82.130.195.220,isp,ES,AS12338 
82.130.195.221,82.130.195.222,business,ES,AS12338 
82.130.195.223,82.130.195.227,isp,ES,AS12338 
82.130.195.228,82.130.195.231,business,ES,AS12338 
82.130.195.232,82.130.195.247,isp,ES,AS12338 
82.130.195.248,82.130.195.251,business,ES,AS12338 
82.130.195.252,82.130.196.25,isp,ES,AS12338 
82.130.196.26,82.130.196.27,business,ES,AS12338 
82.130.196.28,82.130.196.32,isp,ES,AS12338 
82.130.196.33,82.130.196.33,business,ES,AS12338 
82.130.196.34,82.130.196.39,isp,ES,AS12338 
82.130.196.40,82.130.196.40,business,ES,AS12338 
82.130.196.41,82.130.196.41,education,ES,AS12338 
82.130.196.42,82.130.196.48,isp,ES,AS12338 
82.130.196.49,82.130.196.49,business,ES,AS12338 
82.130.196.50,82.130.196.53,isp,ES,AS12338 
82.130.196.54,82.130.196.54,business,ES,AS12338 
82.130.196.55,82.130.196.65,isp,ES,AS12338 
82.130.196.66,82.130.196.66,business,ES,AS12338 
82.130.196.67,82.130.196.74,isp,ES,AS12338 
82.130.196.75,82.130.196.75,business,ES,AS12338 
82.130.196.76,82.130.196.77,isp,ES,AS12338 
82.130.196.78,82.130.196.78,business,ES,AS12338 
82.130.196.79,82.130.196.82,isp,ES,AS12338 
82.130.196.83,82.130.196.83,business,ES,AS12338 
82.130.196.84,82.130.196.105,isp,ES,AS12338 
82.130.196.106,82.130.196.106,business,ES,AS12338 
82.130.196.107,82.130.196.107,isp,ES,AS12338 
82.130.196.108,82.130.196.109,business,ES,AS12338 
82.130.196.110,82.130.196.116,isp,ES,AS12338 
82.130.196.117,82.130.196.118,business,ES,AS12338 
82.130.196.119,82.130.196.123,isp,ES,AS12338 
82.130.196.124,82.130.196.124,business,ES,AS12338 
82.130.196.125,82.130.196.136,isp,ES,AS12338 
82.130.196.137,82.130.196.137,business,ES,AS12338 
82.130.196.138,82.130.196.147,isp,ES,AS12338 
82.130.196.148,82.130.196.148,business,ES,AS12338 
82.130.196.149,82.130.196.150,isp,ES,AS12338 
82.130.196.151,82.130.196.151,business,ES,AS12338 
82.130.196.152,82.130.196.153,isp,ES,AS12338 
82.130.196.154,82.130.196.154,business,ES,AS12338 
82.130.196.155,82.130.196.161,isp,ES,AS12338 
82.130.196.162,82.130.196.162,business,ES,AS12338 
82.130.196.163,82.130.196.167,isp,ES,AS12338 
82.130.196.168,82.130.196.168,business,ES,AS12338 
82.130.196.169,82.130.196.170,isp,ES,AS12338 
82.130.196.171,82.130.196.171,business,ES,AS12338 
82.130.196.172,82.130.196.173,isp,ES,AS12338 
82.130.196.174,82.130.196.174,business,ES,AS12338 
82.130.196.175,82.130.196.181,isp,ES,AS12338 
82.130.196.182,82.130.196.182,business,ES,AS12338 
82.130.196.183,82.130.196.183,isp,ES,AS12338 
82.130.196.184,82.130.196.184,business,ES,AS12338 
82.130.196.185,82.130.196.188,isp,ES,AS12338 
82.130.196.189,82.130.196.189,business,ES,AS12338 
82.130.196.190,82.130.196.192,isp,ES,AS12338 
82.130.196.193,82.130.196.194,business,ES,AS12338 
82.130.196.195,82.130.196.195,isp,ES,AS12338 
82.130.196.196,82.130.196.196,business,ES,AS12338 
82.130.196.197,82.130.196.198,isp,ES,AS12338 
82.130.196.199,82.130.196.199,business,ES,AS12338 
82.130.196.200,82.130.196.201,isp,ES,AS12338 
82.130.196.202,82.130.196.203,business,ES,AS12338 
82.130.196.204,82.130.196.204,isp,ES,AS12338 
82.130.196.205,82.130.196.205,business,ES,AS12338 
82.130.196.206,82.130.196.206,isp,ES,AS12338 
82.130.196.207,82.130.196.211,business,ES,AS12338 
82.130.196.212,82.130.196.214,isp,ES,AS12338 
82.130.196.215,82.130.196.215,business,ES,AS12338 
82.130.196.216,82.130.196.219,isp,ES,AS12338 
82.130.196.220,82.130.196.221,education,ES,AS12338 
82.130.196.222,82.130.196.222,business,ES,AS12338 
82.130.196.223,82.130.196.223,isp,ES,AS12338 
82.130.196.224,82.130.196.225,business,ES,AS12338 
82.130.196.226,82.130.196.241,isp,ES,AS12338 
82.130.196.242,82.130.196.243,business,ES,AS12338 
82.130.196.244,82.130.196.244,isp,ES,AS12338 
82.130.196.245,82.130.196.246,business,ES,AS12338 
82.130.196.247,82.130.196.247,isp,ES,AS12338 
82.130.196.248,82.130.196.248,business,ES,AS12338 
82.130.196.249,82.130.198.2,isp,ES,AS12338 
82.130.198.3,82.130.198.3,business,ES,AS12338 
82.130.198.4,82.130.198.15,isp,ES,AS12338 
82.130.198.16,82.130.198.16,business,ES,AS12338 
82.130.198.17,82.130.198.28,isp,ES,AS12338 
82.130.198.29,82.130.198.29,business,ES,AS12338 
82.130.198.30,82.130.198.37,isp,ES,AS12338 
82.130.198.38,82.130.198.38,business,ES,AS12338 
82.130.198.39,82.130.198.39,isp,ES,AS12338 
82.130.198.40,82.130.198.40,business,ES,AS12338 
82.130.198.41,82.130.198.41,isp,ES,AS12338 
82.130.198.42,82.130.198.47,business,ES,AS12338 
82.130.198.48,82.130.198.48,isp,ES,AS12338 
82.130.198.49,82.130.198.49,business,ES,AS12338 
82.130.198.50,82.130.198.52,isp,ES,AS12338 
82.130.198.53,82.130.198.55,business,ES,AS12338 
82.130.198.56,82.130.198.67,isp,ES,AS12338 
82.130.198.68,82.130.198.79,business,ES,AS12338 
82.130.198.80,82.130.198.91,isp,ES,AS12338 
82.130.198.92,82.130.198.96,business,ES,AS12338 
82.130.198.97,82.130.198.105,isp,ES,AS12338 
82.130.198.106,82.130.198.106,business,ES,AS12338 
82.130.198.107,82.130.198.109,isp,ES,AS12338 
82.130.198.110,82.130.198.110,business,ES,AS12338 
82.130.198.111,82.130.201.1,isp,ES,AS12338 
82.130.201.2,82.130.201.2,business,ES,AS12338 
82.130.201.3,82.130.201.4,isp,ES,AS12338 
82.130.201.5,82.130.201.6,business,ES,AS12338 
82.130.201.7,82.130.201.11,isp,ES,AS12338 
82.130.201.12,82.130.201.12,business,ES,AS12338 
82.130.201.13,82.130.201.27,isp,ES,AS12338 
82.130.201.28,82.130.201.28,business,ES,AS12338 
82.130.201.29,82.130.201.31,isp,ES,AS12338 
82.130.201.32,82.130.201.32,business,ES,AS12338 
82.130.201.33,82.130.201.40,isp,ES,AS12338 
82.130.201.41,82.130.201.41,business,ES,AS12338 
82.130.201.42,82.130.201.42,isp,ES,AS12338 
82.130.201.43,82.130.201.45,business,ES,AS12338 
82.130.201.46,82.130.201.55,isp,ES,AS12338 
82.130.201.56,82.130.201.57,business,ES,AS12338 
82.130.201.58,82.130.201.65,isp,ES,AS12338 
82.130.201.66,82.130.201.66,business,ES,AS12338 
82.130.201.67,82.130.201.74,isp,ES,AS12338 
82.130.201.75,82.130.201.75,business,ES,AS12338 
82.130.201.76,82.130.201.105,isp,ES,AS12338 
82.130.201.106,82.130.201.107,business,ES,AS12338 
82.130.201.108,82.130.201.129,isp,ES,AS12338 
82.130.201.130,82.130.201.130,business,ES,AS12338 
82.130.201.131,82.130.201.144,isp,ES,AS12338 
82.130.201.145,82.130.201.145,business,ES,AS12338 
82.130.201.146,82.130.201.155,isp,ES,AS12338 
82.130.201.156,82.130.201.156,business,ES,AS12338 
82.130.201.157,82.130.201.157,isp,ES,AS12338 
82.130.201.158,82.130.201.158,business,ES,AS12338 
82.130.201.159,82.130.201.160,isp,ES,AS12338 
82.130.201.161,82.130.201.161,business,ES,AS12338 
82.130.201.162,82.130.201.170,isp,ES,AS12338 
82.130.201.171,82.130.201.173,business,ES,AS12338 
82.130.201.174,82.130.201.193,isp,ES,AS12338 
82.130.201.194,82.130.201.194,business,ES,AS12338 
82.130.201.195,82.130.202.39,isp,ES,AS12338 
82.130.202.40,82.130.202.41,business,ES,AS12338 
82.130.202.42,82.130.202.44,isp,ES,AS12338 
82.130.202.45,82.130.202.45,business,ES,AS12338 
82.130.202.46,82.130.202.60,isp,ES,AS12338 
82.130.202.61,82.130.202.61,business,ES,AS12338 
82.130.202.62,82.130.202.62,isp,ES,AS12338 
82.130.202.63,82.130.202.63,business,ES,AS12338 
82.130.202.64,82.130.202.129,isp,ES,AS12338 
82.130.202.130,82.130.202.130,business,ES,AS12338 
82.130.202.131,82.130.202.148,isp,ES,AS12338 
82.130.202.149,82.130.202.149,business,ES,AS12338 
82.130.202.150,82.130.202.150,isp,ES,AS12338 
82.130.202.151,82.130.202.151,business,ES,AS12338 
82.130.202.152,82.130.211.255,isp,ES,AS12338 
82.130.212.0,82.130.212.47,business,ES,AS12338 
82.130.212.48,82.130.212.55,isp,ES,AS12338 
82.130.212.56,82.130.212.63,business,ES,AS12338 
82.130.212.64,82.130.212.127,isp,ES,AS12338 
82.130.212.128,82.130.212.191,business,ES,AS12338 
82.130.212.192,82.130.212.207,education,ES,AS12338 
82.130.212.208,82.130.212.228,business,ES,AS12338 
82.130.212.229,82.130.212.229,isp,ES,AS12338 
82.130.212.230,82.130.212.231,business,ES,AS12338 
82.130.212.232,82.130.212.239,isp,ES,AS12338 
82.130.212.240,82.130.212.243,business,ES,AS12338 
82.130.212.244,82.130.246.2,isp,ES,AS12338 
82.130.246.3,82.130.246.3,business,ES,AS12338 
82.130.246.4,82.130.246.7,isp,ES,AS12338 
82.130.246.8,82.130.246.8,business,ES,AS12338 
82.130.246.9,82.130.246.11,isp,ES,AS12338 
82.130.246.12,82.130.246.12,business,ES,AS12338 
82.130.246.13,82.130.246.40,isp,ES,AS12338 
82.130.246.41,82.130.246.41,business,ES,AS12338 
82.130.246.42,82.130.246.52,isp,ES,AS12338 
82.130.246.53,82.130.246.54,business,ES,AS12338 
82.130.246.55,82.130.246.66,isp,ES,AS12338 
82.130.246.67,82.130.246.67,business,ES,AS12338 
82.130.246.68,82.130.246.70,isp,ES,AS12338 
82.130.246.71,82.130.246.71,business,ES,AS12338 
82.130.246.72,82.130.246.101,isp,ES,AS12338 
82.130.246.102,82.130.246.104,business,ES,AS12338 
82.130.246.105,82.130.246.127,isp,ES,AS12338 
82.130.246.128,82.130.246.131,business,ES,AS12338 
82.130.246.132,82.130.246.199,isp,ES,AS12338 
82.130.246.200,82.130.246.207,business,ES,AS12338 
82.130.246.208,82.130.255.255,isp,ES,AS12338 
