201.245.5.144,201.245.5.151,education,CO 
201.245.168.16,201.245.168.23,business,CO 
201.245.168.24,201.245.168.127,isp,CO 
201.245.168.128,201.245.168.135,business,CO 
201.245.168.136,201.245.168.143,isp,CO 
201.245.168.144,201.245.168.159,business,CO 
201.245.168.160,201.245.168.167,isp,CO 
201.245.168.168,201.245.168.183,business,CO 
201.245.168.184,201.245.168.199,isp,CO 
201.245.168.200,201.245.168.215,business,CO 
201.245.168.216,201.245.168.223,isp,CO 
201.245.168.224,201.245.168.231,business,CO 
201.245.168.232,201.245.168.239,isp,CO 
201.245.168.240,201.245.169.31,business,CO 
201.245.169.32,201.245.169.39,isp,CO 
201.245.169.40,201.245.169.47,business,CO 
201.245.169.48,201.245.169.55,isp,CO 
201.245.169.56,201.245.169.63,business,CO 
201.245.169.64,201.245.169.71,isp,CO 
201.245.169.72,201.245.169.95,business,CO 
201.245.169.96,201.245.169.103,education,CO 
201.245.169.104,201.245.169.111,business,CO 
201.245.169.112,201.245.169.143,isp,CO 
201.245.169.144,201.245.169.151,business,CO 
201.245.169.152,201.245.169.159,isp,CO 
201.245.169.160,201.245.169.175,business,CO 
201.245.169.176,201.245.169.183,isp,CO 
201.245.169.184,201.245.169.207,business,CO 
201.245.169.208,201.245.169.223,isp,CO 
201.245.169.224,201.245.169.239,business,CO 
201.245.169.240,201.245.169.247,isp,CO 
201.245.169.248,201.245.169.255,business,CO 
201.245.170.0,201.245.172.15,isp,CO 
201.245.172.16,201.245.172.23,business,CO 
201.245.172.24,201.245.172.31,isp,CO 
201.245.172.32,201.245.172.47,business,CO 
201.245.172.48,201.245.172.63,isp,CO 
201.245.172.64,201.245.172.71,business,CO 
201.245.172.72,201.245.172.79,education,CO 
201.245.172.80,201.245.172.87,isp,CO 
201.245.172.88,201.245.172.95,business,CO 
201.245.172.96,201.245.172.103,education,CO 
201.245.172.104,201.245.172.111,business,CO 
201.245.172.112,201.245.172.127,isp,CO 
201.245.172.128,201.245.172.255,education,CO 
201.245.173.0,201.245.173.7,business,CO 
201.245.173.8,201.245.173.55,isp,CO 
201.245.173.56,201.245.173.63,business,CO 
201.245.173.64,201.245.173.103,isp,CO 
201.245.173.104,201.245.173.111,business,CO 
201.245.173.112,201.245.173.127,isp,CO 
201.245.173.128,201.245.173.135,business,CO 
201.245.173.136,201.245.173.143,isp,CO 
201.245.173.144,201.245.173.151,business,CO 
201.245.173.152,201.245.173.255,isp,CO 
201.245.174.0,201.245.174.15,education,CO 
201.245.174.16,201.245.174.23,isp,CO 
201.245.174.24,201.245.174.63,business,CO 
201.245.174.64,201.245.175.15,isp,CO 
201.245.175.16,201.245.175.39,business,CO 
201.245.175.40,201.245.175.55,education,CO 
201.245.175.56,201.245.175.79,business,CO 
201.245.175.80,201.245.175.103,isp,CO 
201.245.175.104,201.245.175.111,business,CO 
201.245.175.112,201.245.175.119,education,CO 
201.245.175.120,201.245.175.127,isp,CO 
201.245.175.128,201.245.175.151,business,CO 
201.245.175.152,201.245.175.159,isp,CO 
201.245.175.160,201.245.175.167,business,CO 
201.245.175.168,201.245.175.175,isp,CO 
201.245.175.176,201.245.175.183,business,CO 
201.245.175.184,201.245.175.199,isp,CO 
201.245.175.200,201.245.175.215,business,CO 
201.245.175.216,201.245.175.223,isp,CO 
201.245.175.224,201.245.175.239,business,CO 
201.245.175.240,201.245.175.247,education,CO 
201.245.175.248,201.245.176.23,isp,CO 
201.245.176.24,201.245.176.31,education,CO 
201.245.176.32,201.245.176.55,isp,CO 
201.245.176.56,201.245.176.71,business,CO 
201.245.176.72,201.245.176.79,isp,CO 
201.245.176.80,201.245.176.103,business,CO 
201.245.176.104,201.245.176.151,isp,CO 
201.245.176.152,201.245.176.159,business,CO 
201.245.176.160,201.245.176.191,isp,CO 
201.245.176.192,201.245.176.207,business,CO 
201.245.176.208,201.245.176.223,isp,CO 
201.245.176.224,201.245.176.231,business,CO 
201.245.176.232,201.245.179.103,isp,CO 
201.245.179.104,201.245.179.127,business,CO 
201.245.179.128,201.245.179.159,isp,CO 
201.245.179.160,201.245.179.255,business,CO 
201.245.180.0,201.245.183.7,isp,CO 
201.245.183.8,201.245.183.15,business,CO 
201.245.183.16,201.245.183.23,isp,CO 
201.245.183.24,201.245.183.31,business,CO 
201.245.183.32,201.245.183.87,isp,CO 
201.245.183.88,201.245.183.95,isp,GS 
201.245.183.96,201.245.183.111,business,CO 
201.245.183.112,201.245.183.119,isp,CO 
201.245.183.120,201.245.183.127,business,CO 
201.245.183.128,201.245.183.151,isp,CO 
201.245.183.152,201.245.183.159,business,CO 
201.245.183.160,201.245.183.191,isp,CO 
201.245.183.192,201.245.183.199,business,CO 
201.245.183.200,201.245.183.255,isp,CO 
201.245.184.0,201.245.184.255,business,CO 
201.245.185.0,201.245.185.143,isp,CO 
201.245.185.144,201.245.185.151,business,CO 
201.245.185.152,201.245.185.175,isp,CO 
201.245.185.176,201.245.185.183,business,CO 
201.245.185.184,201.245.185.215,isp,CO 
201.245.185.216,201.245.185.223,business,CO 
201.245.185.224,201.245.185.255,isp,CO 
201.245.186.0,201.245.186.255,education,CO 
201.245.187.0,201.245.187.255,isp,CO 
201.245.188.0,201.245.188.27,education,CO 
201.245.188.28,201.245.188.31,isp,CO 
201.245.188.32,201.245.188.39,business,CO 
201.245.188.40,201.245.188.55,isp,CO 
201.245.188.56,201.245.188.71,business,CO 
201.245.188.72,201.245.188.95,isp,CO 
201.245.188.96,201.245.188.111,business,CO 
201.245.188.112,201.245.188.143,isp,CO 
201.245.188.144,201.245.188.151,business,CO 
201.245.188.152,201.245.188.159,isp,CO 
201.245.188.160,201.245.188.183,business,CO 
201.245.188.184,201.245.188.191,isp,CO 
201.245.188.192,201.245.188.199,business,CO 
201.245.188.200,201.245.188.207,isp,CO 
201.245.188.208,201.245.188.215,education,CO 
201.245.188.216,201.245.188.239,isp,CO 
201.245.188.240,201.245.188.247,business,CO 
201.245.188.248,201.245.189.7,isp,CO 
201.245.189.8,201.245.189.15,business,CO 
201.245.189.16,201.245.189.23,isp,CO 
201.245.189.24,201.245.189.31,education,CO 
201.245.189.32,201.245.189.63,isp,CO 
201.245.189.64,201.245.189.71,business,CO 
201.245.189.72,201.245.189.79,isp,CO 
201.245.189.80,201.245.189.87,education,CO 
201.245.189.88,201.245.189.103,isp,CO 
201.245.189.104,201.245.189.151,business,CO 
201.245.189.152,201.245.189.159,isp,CO 
201.245.189.160,201.245.189.167,business,CO 
201.245.189.168,201.245.189.175,isp,CO 
201.245.189.176,201.245.189.183,business,CO 
201.245.189.184,201.245.189.191,isp,CO 
201.245.189.192,201.245.189.199,business,CO 
201.245.189.200,201.245.189.231,isp,CO 
201.245.189.232,201.245.189.239,education,CO 
201.245.189.240,201.245.189.247,business,CO 
201.245.189.248,201.245.190.47,isp,CO 
201.245.190.48,201.245.190.55,business,CO 
201.245.190.56,201.245.190.59,isp,CO 
201.245.190.60,201.245.190.71,business,CO 
201.245.190.72,201.245.190.79,isp,CO 
201.245.190.80,201.245.190.83,business,CO 
201.245.190.84,201.245.190.95,isp,CO 
201.245.190.96,201.245.190.103,business,CO 
201.245.190.104,201.245.190.119,isp,CO 
201.245.190.120,201.245.190.127,business,CO 
201.245.190.128,201.245.190.135,isp,CO 
201.245.190.136,201.245.190.143,business,CO 
201.245.190.144,201.245.190.159,isp,CO 
201.245.190.160,201.245.190.167,business,CO 
201.245.190.168,201.245.190.191,isp,CO 
201.245.190.192,201.245.190.199,business,CO 
201.245.190.200,201.245.190.223,isp,CO 
201.245.190.224,201.245.190.227,education,CO 
201.245.190.228,201.245.191.255,isp,CO 
201.245.192.0,201.245.192.7,education,CO 
201.245.192.8,201.245.192.15,business,CO 
201.245.192.16,201.245.192.95,isp,CO 
201.245.192.96,201.245.192.119,business,CO 
201.245.192.120,201.245.192.127,isp,CO 
201.245.192.128,201.245.192.143,business,CO 
201.245.192.144,201.245.192.167,isp,CO 
201.245.192.168,201.245.192.175,business,CO 
201.245.192.176,201.245.192.191,education,CO 
201.245.192.192,201.245.192.207,business,CO 
201.245.192.208,201.245.195.7,isp,CO 
201.245.195.8,201.245.195.31,business,CO 
201.245.195.32,201.245.195.39,isp,CO 
201.245.195.40,201.245.195.47,business,CO 
201.245.195.48,201.245.195.63,isp,CO 
201.245.195.64,201.245.195.79,business,CO 
201.245.195.80,201.245.195.95,isp,CO 
201.245.195.96,201.245.195.103,business,CO 
201.245.195.104,201.245.195.111,isp,CO 
201.245.195.112,201.245.195.119,business,CO 
201.245.195.120,201.245.195.143,isp,CO 
201.245.195.144,201.245.195.151,business,CO 
201.245.195.152,201.245.195.215,isp,CO 
201.245.195.216,201.245.195.223,business,CO 
201.245.195.224,201.245.195.247,isp,CO 
201.245.195.248,201.245.195.255,business,CO 
201.245.196.0,201.245.196.127,education,CO 
201.245.196.128,201.245.196.135,business,CO 
201.245.196.136,201.245.196.151,education,CO 
201.245.196.152,201.245.196.167,isp,CO 
201.245.196.168,201.245.196.175,business,CO 
201.245.196.176,201.245.196.191,isp,CO 
201.245.196.192,201.245.196.199,business,CO 
201.245.196.200,201.245.196.207,isp,CO 
201.245.196.208,201.245.196.223,business,CO 
201.245.196.224,201.245.196.227,isp,CO 
201.245.196.228,201.245.196.239,business,CO 
201.245.196.240,201.245.197.31,isp,CO 
201.245.197.32,201.245.197.39,business,CO 
201.245.197.40,201.245.197.47,isp,CO 
201.245.197.48,201.245.197.55,business,CO 
201.245.197.56,201.245.197.63,isp,CO 
201.245.197.64,201.245.197.87,business,CO 
201.245.197.88,201.245.197.95,isp,CO 
201.245.197.96,201.245.197.103,education,CO 
201.245.197.104,201.245.197.119,business,CO 
201.245.197.120,201.245.197.159,isp,CO 
201.245.197.160,201.245.197.183,business,CO 
201.245.197.184,201.245.197.191,isp,CO 
201.245.197.192,201.245.197.199,business,CO 
201.245.197.200,201.245.197.223,isp,CO 
201.245.197.224,201.245.197.231,business,CO 
201.245.197.232,201.245.197.239,isp,CO 
201.245.197.240,201.245.197.247,education,CO 
201.245.197.248,201.245.197.255,business,CO 
201.245.198.0,201.245.198.31,education,CO 
201.245.198.32,201.245.199.15,isp,CO 
201.245.199.16,201.245.199.63,business,CO 
201.245.199.64,201.245.199.79,isp,CO 
201.245.199.80,201.245.199.95,business,CO 
201.245.199.96,201.245.199.151,isp,CO 
201.245.199.152,201.245.199.175,business,CO 
201.245.199.176,201.245.199.183,isp,CO 
201.245.199.184,201.245.199.255,business,CO 
201.245.200.0,201.245.200.55,isp,CO 
201.245.200.56,201.245.200.71,business,CO 
201.245.200.72,201.245.200.175,isp,CO 
201.245.200.176,201.245.200.183,business,CO 
201.245.200.184,201.245.200.191,isp,CO 
201.245.200.192,201.245.200.231,business,CO 
201.245.200.232,201.245.200.247,isp,CO 
201.245.200.248,201.245.201.7,business,CO 
201.245.201.8,201.245.201.23,isp,CO 
201.245.201.24,201.245.201.39,business,CO 
201.245.201.40,201.245.201.47,isp,CO 
201.245.201.48,201.245.201.55,business,CO 
201.245.201.56,201.245.201.87,isp,CO 
201.245.201.88,201.245.201.103,business,CO 
201.245.201.104,201.245.201.119,isp,CO 
201.245.201.120,201.245.201.135,business,CO 
201.245.201.136,201.245.201.143,isp,CO 
201.245.201.144,201.245.201.159,business,CO 
201.245.201.160,201.245.201.167,isp,CO 
201.245.201.168,201.245.201.175,business,CO 
201.245.201.176,201.245.201.183,isp,CO 
201.245.201.184,201.245.201.199,business,CO 
201.245.201.200,201.245.201.207,isp,CO 
201.245.201.208,201.245.201.215,business,CO 
201.245.201.216,201.245.201.231,isp,CO 
201.245.201.232,201.245.201.239,business,CO 
201.245.201.240,201.245.201.247,isp,CO 
201.245.201.248,201.245.201.255,business,CO 
201.245.202.0,201.245.247.255,isp,CO 
201.245.248.0,201.245.248.7,business,CO 
201.245.248.8,201.245.255.255,isp,CO 
