195.135.0.0,195.135.11.255,hosting,FR,AS8399 
195.135.216.0,195.135.219.255,isp,DK,AS15516 
195.135.220.0,195.135.221.255,hosting,DE,AS29298 
195.135.222.0,195.135.223.255,hosting,CZ,AS29298 
195.135.224.0,195.135.227.255,hosting,DE,AS25220 
195.135.228.0,195.135.231.255,isp,PL,AS198035 
195.135.232.0,195.135.235.255,hosting,RU,AS29329 
195.135.236.0,195.135.239.255,isp,RU,AS38984 
195.135.240.0,195.135.243.255,isp,RU,AS50802 
195.135.244.0,195.135.247.255,isp,UA,AS34204 
195.135.248.0,195.135.251.255,isp,ES, 
195.135.252.0,195.135.255.255,hosting,LV,AS42532 
