195.158.0.0,195.158.31.255,isp,UZ,AS8193 
195.158.200.0,195.158.203.255,isp,GB, 
195.158.204.0,195.158.204.255,business,DO,AS201341 
195.158.205.0,195.158.205.255,business,KH,AS201341 
195.158.206.0,195.158.206.255,business,EG,AS201341 
195.158.207.0,195.158.207.255,business,LA,AS201341 
195.158.208.0,195.158.211.255,hosting,US,AS207990 
195.158.212.0,195.158.213.255,isp,AR,AS29259 
195.158.214.0,195.158.215.255,isp,DE,AS29259 
195.158.216.0,195.158.219.255,isp,GB,AS205892 
195.158.220.0,195.158.223.255,business,RU,AS43201 
195.158.224.0,195.158.225.255,isp,RU,AS8342 
195.158.226.0,195.158.227.255,isp,PL,AS45030 
195.158.228.0,195.158.229.255,business,RU,AS45046 
195.158.230.0,195.158.230.255,hosting,IR,AS49556 
195.158.231.0,195.158.231.255,hosting,DE,AS215661 
195.158.232.0,195.158.233.255,isp,RU,AS47104 
195.158.234.0,195.158.235.255,education,RO,AS45035 
195.158.236.0,195.158.237.255,hosting,FR,AS212238 
195.158.238.0,195.158.239.255,business,DE,AS44780 
195.158.240.0,195.158.241.255,business,FR,AS45050 
195.158.242.0,195.158.243.255,business,DK,AS59701 
195.158.244.0,195.158.244.255,business,NL,AS56599 
195.158.245.0,195.158.245.255,business,NL, 
195.158.246.0,195.158.247.255,business,PL,AS47229 
195.158.248.0,195.158.248.255,hosting,IN,AS203020 
195.158.249.0,195.158.249.255,hosting,PT,AS207990 
195.158.250.0,195.158.251.255,isp,RU,AS47117 
195.158.252.0,195.158.253.255,business,DE,AS204796 
195.158.254.0,195.158.255.255,hosting,RU,AS39238 
