80.254.0.0,80.254.15.255,isp,UA,AS15738 
80.254.162.56,80.254.162.59,business,CH,AS1836 
80.254.162.60,80.254.162.63,hosting,CH,AS1836 
80.254.162.64,80.254.162.67,business,CH,AS1836 
80.254.162.68,80.254.162.71,hosting,CH,AS1836 
80.254.162.72,80.254.162.79,business,CH,AS1836 
80.254.162.80,80.254.162.91,hosting,CH,AS1836 
80.254.162.92,80.254.162.95,business,CH,AS1836 
80.254.162.96,80.254.162.103,hosting,CH,AS1836 
80.254.162.104,80.254.162.107,business,CH,AS1836 
80.254.162.108,80.254.162.115,hosting,CH,AS1836 
80.254.162.116,80.254.162.119,business,CH,AS1836 
80.254.162.120,80.254.162.123,hosting,CH,AS1836 
80.254.162.124,80.254.162.127,business,CH,AS1836 
80.254.162.128,80.254.162.131,hosting,CH,AS1836 
80.254.162.132,80.254.162.143,business,CH,AS1836 
80.254.162.144,80.254.162.171,hosting,CH,AS1836 
80.254.162.172,80.254.162.175,business,CH,AS1836 
80.254.162.176,80.254.162.179,hosting,CH,AS1836 
80.254.162.180,80.254.162.183,business,CH,AS1836 
80.254.162.184,80.254.162.199,hosting,CH,AS1836 
80.254.162.200,80.254.162.203,business,CH,AS1836 
80.254.162.204,80.254.162.235,hosting,CH,AS1836 
80.254.162.236,80.254.162.239,business,CH,AS1836 
80.254.162.240,80.254.165.71,hosting,CH,AS1836 
80.254.165.72,80.254.165.75,business,CH,AS1836 
80.254.165.76,80.254.167.7,hosting,CH,AS1836 
80.254.167.8,80.254.167.15,business,CH,AS1836 
80.254.167.16,80.254.167.27,hosting,CH,AS1836 
80.254.167.28,80.254.167.31,business,CH,AS1836 
80.254.167.32,80.254.167.39,hosting,CH,AS1836 
80.254.167.40,80.254.167.47,business,CH,AS1836 
80.254.167.48,80.254.167.51,hosting,CH,AS1836 
80.254.167.52,80.254.167.55,business,CH,AS1836 
80.254.167.56,80.254.167.151,hosting,CH,AS1836 
80.254.167.152,80.254.167.155,business,CH,AS1836 
80.254.167.156,80.254.167.215,hosting,CH,AS1836 
80.254.167.216,80.254.167.219,business,CH,AS1836 
80.254.167.220,80.254.167.255,hosting,CH,AS1836 
80.254.168.0,80.254.168.95,business,CH,AS1836 
80.254.168.96,80.254.168.103,hosting,CH,AS1836 
80.254.168.104,80.254.168.119,business,CH,AS1836 
80.254.168.120,80.254.168.127,hosting,CH,AS1836 
80.254.168.128,80.254.168.135,business,CH,AS1836 
80.254.168.136,80.254.168.159,hosting,CH,AS1836 
80.254.168.160,80.254.168.167,business,CH,AS1836 
80.254.168.168,80.254.168.175,hosting,CH,AS1836 
80.254.168.176,80.254.168.207,business,CH,AS1836 
80.254.168.208,80.254.168.215,hosting,CH,AS1836 
80.254.168.216,80.254.168.231,business,CH,AS1836 
80.254.168.232,80.254.168.239,hosting,CH,AS1836 
80.254.168.240,80.254.169.151,business,CH,AS1836 
80.254.169.152,80.254.169.159,hosting,CH,AS1836 
80.254.169.160,80.254.169.215,business,CH,AS1836 
80.254.169.216,80.254.169.223,hosting,CH,AS1836 
80.254.169.224,80.254.169.239,business,CH,AS1836 
80.254.169.240,80.254.170.199,hosting,CH,AS1836 
80.254.170.200,80.254.170.203,business,CH,AS1836 
80.254.170.204,80.254.171.3,hosting,CH,AS1836 
80.254.171.4,80.254.171.7,business,CH,AS1836 
80.254.171.8,80.254.171.55,hosting,CH,AS1836 
80.254.171.56,80.254.171.59,business,CH,AS1836 
80.254.171.60,80.254.171.135,hosting,CH,AS1836 
80.254.171.136,80.254.171.139,business,CH,AS1836 
80.254.171.140,80.254.171.211,hosting,CH,AS1836 
80.254.171.212,80.254.171.215,business,CH,AS1836 
80.254.171.216,80.254.172.95,hosting,CH,AS1836 
80.254.172.96,80.254.172.103,business,CH,AS1836 
80.254.172.104,80.254.174.7,hosting,CH,AS1836 
80.254.174.8,80.254.174.11,business,CH,AS1836 
80.254.174.12,80.254.174.35,hosting,CH,AS1836 
80.254.174.36,80.254.174.39,business,CH,AS1836 
80.254.174.40,80.254.174.67,hosting,CH,AS1836 
80.254.174.68,80.254.174.71,business,CH,AS1836 
80.254.174.72,80.254.174.75,hosting,CH,AS1836 
80.254.174.76,80.254.174.79,business,CH,AS1836 
80.254.174.80,80.254.174.95,hosting,CH,AS1836 
80.254.174.96,80.254.174.99,business,CH,AS1836 
80.254.174.100,80.254.174.107,hosting,CH,AS1836 
80.254.174.108,80.254.174.115,business,CH,AS1836 
80.254.174.116,80.254.174.171,hosting,CH,AS1836 
80.254.174.172,80.254.174.179,business,CH,AS1836 
80.254.174.180,80.254.174.187,hosting,CH,AS1836 
80.254.174.188,80.254.174.191,business,CH,AS1836 
80.254.174.192,80.254.174.223,hosting,CH,AS1836 
80.254.174.224,80.254.174.227,business,CH,AS1836 
80.254.174.228,80.254.174.251,hosting,CH,AS1836 
80.254.174.252,80.254.175.7,business,CH,AS1836 
80.254.175.8,80.254.175.31,hosting,CH,AS1836 
80.254.175.32,80.254.175.35,business,CH,AS1836 
80.254.175.36,80.254.175.111,hosting,CH,AS1836 
80.254.175.112,80.254.175.115,business,CH,AS1836 
80.254.175.116,80.254.175.143,hosting,CH,AS1836 
80.254.175.144,80.254.175.147,business,CH,AS1836 
80.254.175.148,80.254.175.151,hosting,CH,AS1836 
80.254.175.152,80.254.175.155,business,CH,AS1836 
80.254.175.156,80.254.175.191,hosting,CH,AS1836 
80.254.175.192,80.254.175.195,business,CH,AS1836 
80.254.175.196,80.254.175.255,hosting,CH,AS1836 
80.254.176.0,80.254.176.71,business,CH,AS1836 
80.254.176.72,80.254.176.79,hosting,CH,AS1836 
80.254.176.80,80.254.176.119,business,CH,AS1836 
80.254.176.120,80.254.176.127,hosting,CH,AS1836 
80.254.176.128,80.254.177.207,business,CH,AS1836 
80.254.177.208,80.254.177.223,hosting,CH,AS1836 
80.254.177.224,80.254.178.15,business,CH,AS1836 
80.254.178.16,80.254.178.23,hosting,CH,AS1836 
80.254.178.24,80.254.178.39,business,CH,AS1836 
80.254.178.40,80.254.178.47,hosting,CH,AS1836 
80.254.178.48,80.254.178.87,business,CH,AS1836 
80.254.178.88,80.254.178.103,hosting,CH,AS1836 
80.254.178.104,80.254.178.111,business,CH,AS1836 
80.254.178.112,80.254.178.119,hosting,CH,AS1836 
80.254.178.120,80.254.178.151,business,CH,AS1836 
80.254.178.152,80.254.178.159,hosting,CH,AS1836 
80.254.178.160,80.254.178.167,business,CH,AS1836 
80.254.178.168,80.254.178.175,hosting,CH,AS1836 
80.254.178.176,80.254.178.199,business,CH,AS1836 
80.254.178.200,80.254.178.207,hosting,CH,AS1836 
80.254.178.208,80.254.179.15,business,CH,AS1836 
80.254.179.16,80.254.179.23,hosting,CH,AS1836 
80.254.179.24,80.254.179.159,business,CH,AS1836 
80.254.179.160,80.254.179.167,hosting,CH,AS1836 
80.254.179.168,80.254.179.183,business,CH,AS1836 
80.254.179.184,80.254.179.191,hosting,CH,AS1836 
80.254.179.192,80.254.180.15,business,CH,AS1836 
80.254.180.16,80.254.180.31,hosting,CH,AS1836 
80.254.180.32,80.254.180.55,business,CH,AS1836 
80.254.180.56,80.254.180.63,hosting,CH,AS1836 
80.254.180.64,80.254.180.103,business,CH,AS1836 
80.254.180.104,80.254.180.111,hosting,CH,AS1836 
80.254.180.112,80.254.180.199,business,CH,AS1836 
80.254.180.200,80.254.180.215,hosting,CH,AS1836 
80.254.180.216,80.254.181.47,business,CH,AS1836 
80.254.181.48,80.254.181.55,hosting,CH,AS1836 
80.254.181.56,80.254.181.167,business,CH,AS1836 
80.254.181.168,80.254.181.175,hosting,CH,AS1836 
80.254.181.176,80.254.181.215,business,CH,AS1836 
80.254.181.216,80.254.181.223,hosting,CH,AS1836 
80.254.181.224,80.254.181.255,business,CH,AS1836 
80.254.182.0,80.254.184.215,hosting,CH,AS1836 
80.254.184.216,80.254.184.219,business,CH,AS1836 
80.254.184.220,80.254.185.139,hosting,CH,AS1836 
80.254.185.140,80.254.185.143,business,CH,AS1836 
80.254.185.144,80.254.185.147,hosting,CH,AS1836 
80.254.185.148,80.254.185.151,business,CH,AS1836 
80.254.185.152,80.254.185.199,hosting,CH,AS1836 
80.254.185.200,80.254.185.203,business,CH,AS1836 
80.254.185.204,80.254.186.111,hosting,CH,AS1836 
80.254.186.112,80.254.186.115,business,CH,AS1836 
80.254.186.116,80.254.186.119,hosting,CH,AS1836 
80.254.186.120,80.254.186.123,business,CH,AS1836 
80.254.186.124,80.254.186.243,hosting,CH,AS1836 
80.254.186.244,80.254.186.247,business,CH,AS1836 
80.254.186.248,80.254.187.63,hosting,CH,AS1836 
80.254.187.64,80.254.187.67,business,CH,AS1836 
80.254.187.68,80.254.187.103,hosting,CH,AS1836 
80.254.187.104,80.254.187.107,business,CH,AS1836 
80.254.187.108,80.254.187.147,hosting,CH,AS1836 
80.254.187.148,80.254.187.155,business,CH,AS1836 
80.254.187.156,80.254.187.247,hosting,CH,AS1836 
80.254.187.248,80.254.187.251,business,CH,AS1836 
80.254.187.252,80.254.189.11,hosting,CH,AS1836 
80.254.189.12,80.254.189.15,business,CH,AS1836 
80.254.189.16,80.254.189.43,hosting,CH,AS1836 
80.254.189.44,80.254.189.47,business,CH,AS1836 
80.254.189.48,80.254.189.51,hosting,CH,AS1836 
80.254.189.52,80.254.189.55,business,CH,AS1836 
80.254.189.56,80.254.189.71,hosting,CH,AS1836 
80.254.189.72,80.254.189.75,business,CH,AS1836 
80.254.189.76,80.254.189.83,hosting,CH,AS1836 
80.254.189.84,80.254.189.87,business,CH,AS1836 
80.254.189.88,80.254.189.107,hosting,CH,AS1836 
80.254.189.108,80.254.189.111,business,CH,AS1836 
80.254.189.112,80.254.189.159,hosting,CH,AS1836 
80.254.189.160,80.254.189.163,business,CH,AS1836 
80.254.189.164,80.254.190.255,hosting,CH,AS1836 
80.254.191.0,80.254.191.3,business,CH,AS1836 
80.254.191.4,80.254.191.7,hosting,CH,AS1836 
80.254.191.8,80.254.191.11,business,CH,AS1836 
80.254.191.12,80.254.191.131,hosting,CH,AS1836 
80.254.191.132,80.254.191.135,business,CH,AS1836 
80.254.191.136,80.254.191.255,hosting,CH,AS1836 
80.254.192.0,80.254.207.255,business,IT, 
80.254.208.0,80.254.223.255,isp,CA,AS53356 
80.254.224.0,80.254.227.255,isp,ES,AS43833 
80.254.228.0,80.254.228.255,hosting,SE,AS16509 
80.254.229.0,80.254.231.255,hosting,SE,AS42695 
80.254.232.0,80.254.235.255,hosting,US,AS53356 
80.254.236.0,80.254.239.255,business,US,AS53356 
80.254.240.0,80.254.255.255,isp,SE,AS44769 
