80.235.0.0,80.235.77.127,isp,EE,AS3249 
80.235.213.32,80.235.213.55,isp,GB,AS5089 
80.235.213.56,80.235.213.63,business,GB,AS5089 
80.235.213.64,80.235.213.127,isp,GB,AS5089 
80.235.213.128,80.235.213.135,business,GB,AS5089 
80.235.213.136,80.235.213.143,isp,GB,AS5089 
80.235.213.144,80.235.213.159,business,GB,AS5089 
80.235.213.160,80.235.214.39,isp,GB,AS5089 
80.235.214.40,80.235.214.55,business,GB,AS5089 
80.235.214.56,80.235.214.95,isp,GB,AS5089 
80.235.214.96,80.235.214.103,business,GB,AS5089 
80.235.214.104,80.235.214.111,isp,GB,AS5089 
80.235.214.112,80.235.214.127,business,GB,AS5089 
80.235.214.128,80.235.214.135,isp,GB,AS5089 
80.235.214.136,80.235.214.143,business,GB,AS5089 
80.235.214.144,80.235.214.151,isp,GB,AS5089 
80.235.214.152,80.235.214.159,business,GB,AS5089 
80.235.214.160,80.235.214.167,isp,GB,AS5089 
80.235.214.168,80.235.214.175,business,GB,AS5089 
80.235.214.176,80.235.214.199,isp,GB,AS5089 
80.235.214.200,80.235.214.207,business,GB,AS5089 
80.235.214.208,80.235.215.31,isp,GB,AS5089 
80.235.215.32,80.235.215.39,business,GB,AS5089 
80.235.215.40,80.235.215.103,isp,GB,AS5089 
80.235.215.104,80.235.215.111,business,GB,AS5089 
80.235.215.112,80.235.215.143,isp,GB,AS5089 
80.235.215.144,80.235.215.151,business,GB,AS5089 
80.235.215.152,80.235.215.167,isp,GB,AS5089 
80.235.215.168,80.235.215.175,business,GB,AS5089 
80.235.215.176,80.235.215.183,isp,GB,AS5089 
80.235.215.184,80.235.215.191,business,GB,AS5089 
80.235.215.192,80.235.216.15,isp,GB,AS5089 
80.235.216.16,80.235.216.31,business,GB,AS5089 
80.235.216.32,80.235.216.39,isp,GB,AS5089 
80.235.216.40,80.235.216.47,business,GB,AS5089 
80.235.216.48,80.235.216.95,isp,GB,AS5089 
80.235.216.96,80.235.216.103,business,GB,AS5089 
80.235.216.104,80.235.216.159,isp,GB,AS5089 
80.235.216.160,80.235.216.175,business,GB,AS5089 
80.235.216.176,80.235.216.223,isp,GB,AS5089 
80.235.216.224,80.235.216.231,business,GB,AS5089 
80.235.216.232,80.235.216.239,isp,GB,AS5089 
80.235.216.240,80.235.216.247,business,GB,AS5089 
80.235.216.248,80.235.216.255,isp,GB,AS5089 
80.235.217.0,80.235.217.7,business,GB,AS5089 
80.235.217.8,80.235.217.23,isp,GB,AS5089 
80.235.217.24,80.235.217.31,business,GB,AS5089 
80.235.217.32,80.235.217.55,isp,GB,AS5089 
80.235.217.56,80.235.217.71,business,GB,AS5089 
80.235.217.72,80.235.217.79,isp,GB,AS5089 
80.235.217.80,80.235.217.87,business,GB,AS5089 
80.235.217.88,80.235.217.95,isp,GB,AS5089 
80.235.217.96,80.235.217.103,business,GB,AS5089 
80.235.217.104,80.235.217.119,isp,GB,AS5089 
80.235.217.120,80.235.217.127,business,GB,AS5089 
80.235.217.128,80.235.217.167,isp,GB,AS5089 
80.235.217.168,80.235.217.175,business,GB,AS5089 
80.235.217.176,80.235.217.183,isp,GB,AS5089 
80.235.217.184,80.235.217.191,business,GB,AS5089 
80.235.217.192,80.235.217.199,isp,GB,AS5089 
80.235.217.200,80.235.217.207,business,GB,AS5089 
80.235.217.208,80.235.217.223,isp,GB,AS5089 
80.235.217.224,80.235.217.231,business,GB,AS5089 
80.235.217.232,80.235.218.39,isp,GB,AS5089 
80.235.218.40,80.235.218.47,business,GB,AS5089 
80.235.218.48,80.235.218.95,isp,GB,AS5089 
80.235.218.96,80.235.218.103,business,GB,AS5089 
80.235.218.104,80.235.218.111,isp,GB,AS5089 
80.235.218.112,80.235.218.135,business,GB,AS5089 
80.235.218.136,80.235.218.207,isp,GB,AS5089 
80.235.218.208,80.235.218.215,business,GB,AS5089 
80.235.218.216,80.235.218.223,isp,GB,AS5089 
80.235.218.224,80.235.218.231,business,GB,AS5089 
80.235.218.232,80.235.219.23,isp,GB,AS5089 
80.235.219.24,80.235.219.31,business,GB,AS5089 
80.235.219.32,80.235.219.39,isp,GB,AS5089 
80.235.219.40,80.235.219.47,business,GB,AS5089 
80.235.219.48,80.235.219.127,isp,GB,AS5089 
80.235.219.128,80.235.219.135,business,GB,AS5089 
80.235.219.136,80.235.219.175,isp,GB,AS5089 
80.235.219.176,80.235.219.183,business,GB,AS5089 
80.235.219.184,80.235.220.47,isp,GB,AS5089 
80.235.220.48,80.235.220.55,business,GB,AS5089 
80.235.220.56,80.235.220.103,isp,GB,AS5089 
80.235.220.104,80.235.220.111,business,GB,AS5089 
80.235.220.112,80.235.220.159,isp,GB,AS5089 
80.235.220.160,80.235.220.167,business,GB,AS5089 
80.235.220.168,80.235.220.255,isp,GB,AS5089 
80.235.221.0,80.235.221.7,business,GB,AS5089 
80.235.221.8,80.235.221.63,isp,GB,AS5089 
80.235.221.64,80.235.221.71,business,GB,AS5089 
80.235.221.72,80.235.221.103,isp,GB,AS5089 
80.235.221.104,80.235.221.111,business,GB,AS5089 
80.235.221.112,80.235.221.119,isp,GB,AS5089 
80.235.221.120,80.235.221.159,business,GB,AS5089 
80.235.221.160,80.235.221.215,isp,GB,AS5089 
80.235.221.216,80.235.221.239,business,GB,AS5089 
80.235.221.240,80.235.221.255,isp,GB,AS5089 
80.235.222.0,80.235.222.7,business,GB,AS5089 
80.235.222.8,80.235.222.15,isp,GB,AS5089 
80.235.222.16,80.235.222.23,business,GB,AS5089 
80.235.222.24,80.235.222.47,isp,GB,AS5089 
80.235.222.48,80.235.222.55,business,GB,AS5089 
80.235.222.56,80.235.222.111,isp,GB,AS5089 
80.235.222.112,80.235.222.119,business,GB,AS5089 
80.235.222.120,80.235.222.127,isp,GB,AS5089 
80.235.222.128,80.235.222.135,business,GB,AS5089 
80.235.222.136,80.235.222.207,isp,GB,AS5089 
80.235.222.208,80.235.222.215,business,GB,AS5089 
80.235.222.216,80.235.222.239,isp,GB,AS5089 
80.235.222.240,80.235.222.247,business,GB,AS5089 
80.235.222.248,80.235.223.7,isp,GB,AS5089 
80.235.223.8,80.235.223.23,business,GB,AS5089 
80.235.223.24,80.235.223.39,isp,GB,AS5089 
80.235.223.40,80.235.223.47,business,GB,AS5089 
80.235.223.48,80.235.223.71,isp,GB,AS5089 
80.235.223.72,80.235.223.79,business,GB,AS5089 
80.235.223.80,80.235.226.47,isp,GB,AS5089 
80.235.226.48,80.235.226.55,business,GB,AS5089 
80.235.226.56,80.235.226.199,isp,GB,AS5089 
80.235.226.200,80.235.226.207,business,GB,AS5089 
80.235.226.208,80.235.226.223,isp,GB,AS5089 
80.235.226.224,80.235.226.231,business,GB,AS5089 
80.235.226.232,80.235.227.15,isp,GB,AS5089 
80.235.227.16,80.235.227.23,business,GB,AS5089 
80.235.227.24,80.235.227.31,isp,GB,AS5089 
80.235.227.32,80.235.227.39,business,GB,AS5089 
80.235.227.40,80.235.227.63,isp,GB,AS5089 
80.235.227.64,80.235.227.71,business,GB,AS5089 
80.235.227.72,80.235.227.79,education,GB,AS5089 
80.235.227.80,80.235.227.95,isp,GB,AS5089 
80.235.227.96,80.235.227.103,business,GB,AS5089 
80.235.227.104,80.235.227.119,isp,GB,AS5089 
80.235.227.120,80.235.227.135,business,GB,AS5089 
80.235.227.136,80.235.227.247,isp,GB,AS5089 
80.235.227.248,80.235.227.255,business,GB,AS5089 
80.235.228.0,80.235.228.31,isp,GB,AS5089 
80.235.228.32,80.235.228.39,business,GB,AS5089 
80.235.228.40,80.235.228.55,isp,GB,AS5089 
80.235.228.56,80.235.228.63,business,GB,AS5089 
80.235.228.64,80.235.228.95,isp,GB,AS5089 
80.235.228.96,80.235.228.119,business,GB,AS5089 
80.235.228.120,80.235.228.135,isp,GB,AS5089 
80.235.228.136,80.235.228.143,business,GB,AS5089 
80.235.228.144,80.235.228.159,isp,GB,AS5089 
80.235.228.160,80.235.228.167,business,GB,AS5089 
80.235.228.168,80.235.228.175,isp,GB,AS5089 
80.235.228.176,80.235.228.183,business,GB,AS5089 
80.235.228.184,80.235.228.191,isp,GB,AS5089 
80.235.228.192,80.235.228.199,business,GB,AS5089 
80.235.228.200,80.235.228.207,isp,GB,AS5089 
80.235.228.208,80.235.228.223,business,GB,AS5089 
80.235.228.224,80.235.228.239,isp,GB,AS5089 
80.235.228.240,80.235.228.247,business,GB,AS5089 
80.235.228.248,80.235.229.15,isp,GB,AS5089 
80.235.229.16,80.235.229.23,business,GB,AS5089 
80.235.229.24,80.235.229.39,isp,GB,AS5089 
80.235.229.40,80.235.229.79,business,GB,AS5089 
80.235.229.80,80.235.229.103,isp,GB,AS5089 
80.235.229.104,80.235.229.111,business,GB,AS5089 
80.235.229.112,80.235.229.127,isp,GB,AS5089 
80.235.229.128,80.235.229.135,business,GB,AS5089 
80.235.229.136,80.235.229.167,isp,GB,AS5089 
80.235.229.168,80.235.229.175,business,GB,AS5089 
80.235.229.176,80.235.229.199,isp,GB,AS5089 
80.235.229.200,80.235.229.215,business,GB,AS5089 
80.235.229.216,80.235.230.39,isp,GB,AS5089 
80.235.230.40,80.235.230.47,business,GB,AS5089 
80.235.230.48,80.235.230.71,isp,GB,AS5089 
80.235.230.72,80.235.230.79,business,GB,AS5089 
80.235.230.80,80.235.230.111,isp,GB,AS5089 
80.235.230.112,80.235.230.135,business,GB,AS5089 
80.235.230.136,80.235.230.175,isp,GB,AS5089 
80.235.230.176,80.235.230.183,business,GB,AS5089 
80.235.230.184,80.235.230.191,isp,GB,AS5089 
80.235.230.192,80.235.230.207,business,GB,AS5089 
80.235.230.208,80.235.230.223,isp,GB,AS5089 
80.235.230.224,80.235.230.231,business,GB,AS5089 
80.235.230.232,80.235.230.247,isp,GB,AS5089 
80.235.230.248,80.235.231.15,business,GB,AS5089 
80.235.231.16,80.235.231.39,isp,GB,AS5089 
80.235.231.40,80.235.231.55,business,GB,AS5089 
80.235.231.56,80.235.231.63,isp,GB,AS5089 
80.235.231.64,80.235.231.71,business,GB,AS5089 
80.235.231.72,80.235.231.87,isp,GB,AS5089 
80.235.231.88,80.235.231.95,business,GB,AS5089 
80.235.231.96,80.235.231.135,isp,GB,AS5089 
80.235.231.136,80.235.231.143,business,GB,AS5089 
80.235.231.144,80.235.231.151,isp,GB,AS5089 
80.235.231.152,80.235.231.159,business,GB,AS5089 
80.235.231.160,80.235.231.175,isp,GB,AS5089 
80.235.231.176,80.235.231.183,business,GB,AS5089 
80.235.231.184,80.235.231.191,isp,GB,AS5089 
80.235.231.192,80.235.231.207,business,GB,AS5089 
80.235.231.208,80.235.231.247,isp,GB,AS5089 
80.235.231.248,80.235.231.255,business,GB,AS5089 
80.235.232.0,80.235.232.31,isp,GB,AS5089 
80.235.232.32,80.235.232.39,business,GB,AS5089 
80.235.232.40,80.235.232.79,isp,GB,AS5089 
80.235.232.80,80.235.232.87,business,GB,AS5089 
80.235.232.88,80.235.232.127,isp,GB,AS5089 
80.235.232.128,80.235.232.135,business,GB,AS5089 
80.235.232.136,80.235.232.183,isp,GB,AS5089 
80.235.232.184,80.235.232.199,business,GB,AS5089 
80.235.232.200,80.235.232.223,isp,GB,AS5089 
80.235.232.224,80.235.232.231,business,GB,AS5089 
80.235.232.232,80.235.232.239,isp,GB,AS5089 
80.235.232.240,80.235.232.247,business,GB,AS5089 
80.235.232.248,80.235.233.55,isp,GB,AS5089 
80.235.233.56,80.235.233.63,business,GB,AS5089 
80.235.233.64,80.235.233.95,isp,GB,AS5089 
80.235.233.96,80.235.233.103,business,GB,AS5089 
80.235.233.104,80.235.233.111,isp,GB,AS5089 
80.235.233.112,80.235.233.119,business,GB,AS5089 
80.235.233.120,80.235.233.127,isp,GB,AS5089 
80.235.233.128,80.235.233.135,business,GB,AS5089 
80.235.233.136,80.235.233.143,isp,GB,AS5089 
80.235.233.144,80.235.233.159,business,GB,AS5089 
80.235.233.160,80.235.233.167,isp,GB,AS5089 
80.235.233.168,80.235.233.183,business,GB,AS5089 
80.235.233.184,80.235.233.223,isp,GB,AS5089 
80.235.233.224,80.235.233.247,business,GB,AS5089 
80.235.233.248,80.235.234.23,isp,GB,AS5089 
80.235.234.24,80.235.234.31,business,GB,AS5089 
80.235.234.32,80.235.234.55,isp,GB,AS5089 
80.235.234.56,80.235.234.63,business,GB,AS5089 
80.235.234.64,80.235.234.103,isp,GB,AS5089 
80.235.234.104,80.235.234.111,business,GB,AS5089 
80.235.234.112,80.235.234.135,isp,GB,AS5089 
80.235.234.136,80.235.234.143,business,GB,AS5089 
80.235.234.144,80.235.234.223,isp,GB,AS5089 
80.235.234.224,80.235.234.231,business,GB,AS5089 
80.235.234.232,80.235.235.7,isp,GB,AS5089 
80.235.235.8,80.235.235.15,business,GB,AS5089 
80.235.235.16,80.235.235.23,isp,GB,AS5089 
80.235.235.24,80.235.235.47,business,GB,AS5089 
80.235.235.48,80.235.235.159,isp,GB,AS5089 
80.235.235.160,80.235.235.167,business,GB,AS5089 
80.235.235.168,80.235.235.175,isp,GB,AS5089 
80.235.235.176,80.235.235.183,business,GB,AS5089 
80.235.235.184,80.235.235.223,isp,GB,AS5089 
80.235.235.224,80.235.235.239,business,GB,AS5089 
80.235.235.240,80.235.235.255,isp,GB,AS5089 
80.235.236.0,80.235.236.7,business,GB,AS5089 
80.235.236.8,80.235.236.15,education,GB,AS5089 
80.235.236.16,80.235.236.47,isp,GB,AS5089 
80.235.236.48,80.235.236.55,business,GB,AS5089 
80.235.236.56,80.235.236.63,isp,GB,AS5089 
80.235.236.64,80.235.236.71,business,GB,AS5089 
80.235.236.72,80.235.236.111,isp,GB,AS5089 
80.235.236.112,80.235.236.127,business,GB,AS5089 
80.235.236.128,80.235.236.143,isp,GB,AS5089 
80.235.236.144,80.235.236.159,business,GB,AS5089 
80.235.236.160,80.235.236.191,isp,GB,AS5089 
80.235.236.192,80.235.236.199,business,GB,AS5089 
80.235.236.200,80.235.236.207,isp,GB,AS5089 
80.235.236.208,80.235.236.215,business,GB,AS5089 
80.235.236.216,80.235.236.255,isp,GB,AS5089 
80.235.237.0,80.235.237.7,business,GB,AS5089 
80.235.237.8,80.235.237.39,isp,GB,AS5089 
80.235.237.40,80.235.237.47,business,GB,AS5089 
80.235.237.48,80.235.237.119,isp,GB,AS5089 
80.235.237.120,80.235.237.127,business,GB,AS5089 
80.235.237.128,80.235.237.135,isp,GB,AS5089 
80.235.237.136,80.235.237.143,business,GB,AS5089 
80.235.237.144,80.235.237.151,isp,GB,AS5089 
80.235.237.152,80.235.237.159,business,GB,AS5089 
80.235.237.160,80.235.237.199,isp,GB,AS5089 
80.235.237.200,80.235.237.207,business,GB,AS5089 
80.235.237.208,80.235.237.247,isp,GB,AS5089 
80.235.237.248,80.235.237.255,business,GB,AS5089 
80.235.238.0,80.235.238.71,isp,GB,AS5089 
80.235.238.72,80.235.238.79,business,GB,AS5089 
80.235.238.80,80.235.238.191,isp,GB,AS5089 
80.235.238.192,80.235.238.199,business,GB,AS5089 
80.235.238.200,80.235.238.239,isp,GB,AS5089 
80.235.238.240,80.235.239.7,business,GB,AS5089 
80.235.239.8,80.235.239.63,isp,GB,AS5089 
80.235.239.64,80.235.239.71,education,GB,AS5089 
80.235.239.72,80.235.239.95,isp,GB,AS5089 
80.235.239.96,80.235.239.103,business,GB,AS5089 
80.235.239.104,80.235.239.119,isp,GB,AS5089 
80.235.239.120,80.235.239.135,business,GB,AS5089 
80.235.239.136,80.235.239.159,isp,GB,AS5089 
80.235.239.160,80.235.239.167,business,GB,AS5089 
80.235.239.168,80.235.239.207,isp,GB,AS5089 
80.235.239.208,80.235.239.215,business,GB,AS5089 
80.235.239.216,80.235.239.223,isp,GB,AS5089 
80.235.239.224,80.235.239.231,business,GB,AS5089 
80.235.239.232,80.235.255.255,isp,GB,AS5089 
