80.246.0.0,80.246.15.255,hosting,DZ,AS21391 
80.246.199.112,80.246.199.171,isp,NL,AS28878 
80.246.199.172,80.246.199.183,business,NL,AS28878 
80.246.199.184,80.246.199.231,isp,NL,AS28878 
80.246.199.232,80.246.199.239,business,NL,AS28878 
80.246.199.240,80.246.200.15,isp,NL,AS28878 
80.246.200.16,80.246.200.31,business,NL,AS28878 
80.246.200.32,80.246.200.111,isp,NL,AS28878 
80.246.200.112,80.246.200.119,business,NL,AS28878 
80.246.200.120,80.246.200.159,isp,NL,AS28878 
80.246.200.160,80.246.200.191,business,NL,AS28878 
80.246.200.192,80.246.200.231,isp,NL,AS28878 
80.246.200.232,80.246.200.239,business,NL,AS28878 
80.246.200.240,80.246.201.95,isp,NL,AS28878 
80.246.201.96,80.246.201.103,business,NL,AS28878 
80.246.201.104,80.246.201.215,isp,NL,AS28878 
80.246.201.216,80.246.201.223,business,NL,AS28878 
80.246.201.224,80.246.201.255,isp,NL,AS28878 
80.246.202.0,80.246.202.255,hosting,NL,AS39700 
80.246.203.0,80.246.203.31,isp,NL,AS28878 
80.246.203.32,80.246.203.47,business,NL,AS28878 
80.246.203.48,80.246.203.71,isp,NL,AS28878 
80.246.203.72,80.246.203.79,business,NL,AS28878 
80.246.203.80,80.246.203.127,isp,NL,AS28878 
80.246.203.128,80.246.203.135,business,NL,AS28878 
80.246.203.136,80.246.203.239,isp,NL,AS28878 
80.246.203.240,80.246.203.255,business,NL,AS28878 
80.246.204.0,80.246.204.255,isp,NL,AS28878 
80.246.205.0,80.246.205.15,business,NL,AS28878 
80.246.205.16,80.246.205.31,isp,NL,AS28878 
80.246.205.32,80.246.205.63,business,NL,AS28878 
80.246.205.64,80.246.205.79,isp,NL,AS28878 
80.246.205.80,80.246.205.103,business,NL,AS28878 
80.246.205.104,80.246.205.119,isp,NL,AS28878 
80.246.205.120,80.246.205.127,business,NL,AS28878 
80.246.205.128,80.246.205.159,isp,NL,AS28878 
80.246.205.160,80.246.205.175,business,NL,AS28878 
80.246.205.176,80.246.205.199,isp,NL,AS28878 
80.246.205.200,80.246.205.207,business,NL,AS28878 
80.246.205.208,80.246.205.215,isp,NL,AS28878 
80.246.205.216,80.246.205.223,business,NL,AS28878 
80.246.205.224,80.246.206.63,isp,NL,AS28878 
80.246.206.64,80.246.206.191,business,NL,AS28878 
80.246.206.192,80.246.206.255,isp,NL,AS28878 
80.246.207.0,80.246.207.255,isp,NL,AS49685 
80.246.208.0,80.246.209.255,isp,RU,AS35755 
80.246.210.0,80.246.223.255,business,RU,AS35755 
80.246.224.0,80.246.224.255,business,SI,AS142561 
80.246.225.0,80.246.225.255,business,PA,AS61317 
80.246.226.0,80.246.226.255,isp,MY,AS216183 
80.246.227.0,80.246.227.255,business,BR, 
80.246.228.0,80.246.228.255,hosting,PA,AS61317 
80.246.229.0,80.246.229.255,business,ID,AS398465 
80.246.230.0,80.246.230.255,hosting,AE,AS200017 
80.246.231.0,80.246.231.255,hosting,PA,AS61317 
80.246.232.0,80.246.239.255,isp,US,AS174 
80.246.240.0,80.246.255.255,isp,RU,AS31484 
