64.254.0.0,64.254.12.255,hosting,CA,AS18563 
64.254.136.144,64.254.136.147,hosting,US,AS16617 
64.254.136.148,64.254.136.151,business,US,AS16617 
64.254.136.152,64.254.136.155,hosting,US,AS16617 
64.254.136.156,64.254.136.159,business,US,AS16617 
64.254.136.160,64.254.136.171,hosting,US,AS16617 
64.254.136.172,64.254.136.179,business,US,AS16617 
64.254.136.180,64.254.136.251,hosting,US,AS16617 
64.254.136.252,64.254.137.255,business,US,AS16617 
64.254.138.0,64.254.138.255,hosting,US,AS16617 
64.254.139.0,64.254.139.39,business,US,AS16617 
64.254.139.40,64.254.139.95,hosting,US,AS16617 
64.254.139.96,64.254.139.111,business,US,AS16617 
64.254.139.112,64.254.139.159,hosting,US,AS16617 
64.254.139.160,64.254.139.167,business,US,AS16617 
64.254.139.168,64.254.139.175,hosting,US,AS16617 
64.254.139.176,64.254.139.187,business,US,AS16617 
64.254.139.188,64.254.139.207,hosting,US,AS16617 
64.254.139.208,64.254.139.231,business,FI,AS16617 
64.254.139.232,64.254.139.239,business,US,AS16617 
64.254.139.240,64.254.140.191,hosting,US,AS16617 
64.254.140.192,64.254.140.223,education,US,AS16617 
64.254.140.224,64.254.141.15,hosting,US,AS16617 
64.254.141.16,64.254.141.71,business,US,AS16617 
64.254.141.72,64.254.141.95,hosting,US,AS16617 
64.254.141.96,64.254.141.103,business,US,AS16617 
64.254.141.104,64.254.141.127,hosting,US,AS16617 
64.254.141.128,64.254.141.215,business,US,AS16617 
64.254.141.216,64.254.141.223,hosting,US,AS16617 
64.254.141.224,64.254.141.255,business,FI,AS16617 
64.254.142.0,64.254.142.7,business,US,AS16617 
64.254.142.8,64.254.142.15,education,US,AS16617 
64.254.142.16,64.254.142.23,hosting,US,AS16617 
64.254.142.24,64.254.142.31,business,US,AS16617 
64.254.142.32,64.254.142.47,hosting,US,AS16617 
64.254.142.48,64.254.142.63,business,US,AS16617 
64.254.142.64,64.254.142.79,hosting,US,AS16617 
64.254.142.80,64.254.142.87,business,US,AS16617 
64.254.142.88,64.254.142.103,hosting,US,AS16617 
64.254.142.104,64.254.142.111,business,US,AS16617 
64.254.142.112,64.254.142.119,hosting,US,AS16617 
64.254.142.120,64.254.142.143,business,US,AS16617 
64.254.142.144,64.254.142.151,hosting,US,AS16617 
64.254.142.152,64.254.142.163,business,US,AS16617 
64.254.142.164,64.254.142.167,hosting,US,AS16617 
64.254.142.168,64.254.142.175,business,US,AS16617 
64.254.142.176,64.254.142.183,hosting,US,AS16617 
64.254.142.184,64.254.142.207,business,US,AS16617 
64.254.142.208,64.254.142.215,hosting,US,AS16617 
64.254.142.216,64.254.143.15,business,US,AS16617 
64.254.143.16,64.254.143.35,hosting,US,AS16617 
64.254.143.36,64.254.143.55,business,US,AS16617 
64.254.143.56,64.254.143.63,hosting,US,AS16617 
64.254.143.64,64.254.143.67,business,US,AS16617 
64.254.143.68,64.254.143.123,hosting,US,AS16617 
64.254.143.124,64.254.143.167,business,US,AS16617 
64.254.143.168,64.254.143.171,education,US,AS16617 
64.254.143.172,64.254.143.183,hosting,US,AS16617 
64.254.143.184,64.254.143.191,business,US,AS16617 
64.254.143.192,64.254.143.207,education,US,AS16617 
64.254.143.208,64.254.143.223,business,US,AS16617 
64.254.143.224,64.254.143.255,hosting,US,AS16617 
64.254.144.0,64.254.145.47,isp,US,AS16941 
64.254.145.48,64.254.145.63,business,CA,AS16941 
64.254.145.64,64.254.145.239,isp,US,AS16941 
64.254.145.240,64.254.145.255,business,CA,AS16941 
64.254.146.0,64.254.159.255,isp,US,AS16941 
64.254.160.0,64.254.175.255,education,US,AS396086 
64.254.176.0,64.254.176.31,isp,US,AS12042 
64.254.176.32,64.254.176.55,business,US,AS12042 
64.254.176.56,64.254.176.87,isp,US,AS12042 
64.254.176.88,64.254.176.95,education,US,AS12042 
64.254.176.96,64.254.176.191,isp,US,AS12042 
64.254.176.192,64.254.176.199,education,US,AS12042 
64.254.176.200,64.254.177.87,isp,US,AS12042 
64.254.177.88,64.254.177.95,business,US,AS12042 
64.254.177.96,64.254.180.255,isp,US,AS12042 
64.254.181.0,64.254.181.255,business,US, 
64.254.182.0,64.254.182.23,isp,US,AS12042 
64.254.182.24,64.254.182.39,business,US,AS12042 
64.254.182.40,64.254.182.71,isp,US,AS12042 
64.254.182.72,64.254.182.79,business,US,AS12042 
64.254.182.80,64.254.182.143,isp,US,AS12042 
64.254.182.144,64.254.182.151,business,US,AS12042 
64.254.182.152,64.254.182.159,isp,US,AS12042 
64.254.182.160,64.254.182.167,business,US,AS12042 
64.254.182.168,64.254.182.191,isp,US,AS12042 
64.254.182.192,64.254.182.199,business,US,AS12042 
64.254.182.200,64.254.182.215,isp,US,AS12042 
64.254.182.216,64.254.182.223,business,US,AS12042 
64.254.182.224,64.254.191.255,isp,US,AS12042 
64.254.192.0,64.254.223.255,isp,US,AS174 
64.254.224.0,64.254.225.231,hosting,CA,AS21548 
64.254.225.232,64.254.225.235,business,CA,AS21548 
64.254.225.236,64.254.228.39,hosting,CA,AS21548 
64.254.228.40,64.254.228.47,business,CA,AS21548 
64.254.228.48,64.254.228.87,hosting,CA,AS21548 
64.254.228.88,64.254.228.103,business,CA,AS21548 
64.254.228.104,64.254.228.111,hosting,CA,AS21548 
64.254.228.112,64.254.228.127,business,CA,AS21548 
64.254.228.128,64.254.229.255,hosting,CA,AS21548 
64.254.230.0,64.254.230.31,business,CA,AS21548 
64.254.230.32,64.254.230.47,education,CA,AS21548 
64.254.230.48,64.254.230.63,business,CA,AS21548 
64.254.230.64,64.254.230.95,hosting,CA,AS21548 
64.254.230.96,64.254.230.127,business,CA,AS21548 
64.254.230.128,64.254.231.255,hosting,CA,AS21548 
64.254.232.0,64.254.232.127,hosting,US,AS21548 
64.254.232.128,64.254.232.255,hosting,CA,AS21548 
64.254.233.0,64.254.234.255,business,CA,AS21548 
64.254.235.0,64.254.235.127,hosting,US,AS21548 
64.254.235.128,64.254.239.255,hosting,CA,AS21548 
64.254.240.0,64.254.240.255,business,CA,AS21548 
64.254.241.0,64.254.241.255,isp,CA,AS21548 
64.254.242.0,64.254.242.255,isp,CA,AS30003 
64.254.243.0,64.254.248.255,hosting,CA,AS21548 
64.254.249.0,64.254.249.255,business,CA,AS21723 
64.254.250.0,64.254.255.255,hosting,CA,AS21548 
