64.209.12.216,64.209.12.223,business,RO,AS3549 
64.209.168.128,64.209.183.127,isp,US,AS3561 
64.209.183.128,64.209.183.191,business,US,AS3561 
64.209.183.192,64.209.192.63,isp,US,AS3561 
64.209.192.64,64.209.192.71,business,US,AS3561 
64.209.192.72,64.209.193.255,isp,US,AS3561 
64.209.194.0,64.209.194.7,business,US,AS3561 
64.209.194.8,64.209.194.31,isp,US,AS3561 
64.209.194.32,64.209.194.103,business,US,AS3561 
64.209.194.104,64.209.200.191,isp,US,AS3561 
64.209.200.192,64.209.200.207,business,US,AS3561 
64.209.200.208,64.209.207.255,isp,US,AS3561 
64.209.208.0,64.209.209.255,isp,US,AS14860 
64.209.210.0,64.209.210.255,business,US,AS14860 
64.209.211.0,64.209.211.255,isp,US,AS14860 
64.209.212.0,64.209.213.255,business,US,AS14860 
64.209.214.0,64.209.215.255,isp,US,AS14860 
64.209.216.0,64.209.223.255,isp,CA,AS396420 
64.209.224.0,64.209.224.31,isp,US,AS3561 
64.209.224.32,64.209.224.63,business,US,AS3561 
64.209.224.64,64.209.224.79,isp,US,AS3561 
64.209.224.80,64.209.224.127,business,US,AS3561 
64.209.224.128,64.209.225.31,isp,US,AS3561 
64.209.225.32,64.209.225.79,business,US,AS3561 
64.209.225.80,64.209.225.111,isp,US,AS3561 
64.209.225.112,64.209.225.119,business,US,AS3561 
64.209.225.120,64.209.225.127,isp,US,AS3561 
64.209.225.128,64.209.225.255,business,US,AS3561 
64.209.226.0,64.209.228.127,isp,US,AS3561 
64.209.228.128,64.209.228.223,business,US,AS3561 
64.209.228.224,64.209.228.231,isp,US,AS3561 
64.209.228.232,64.209.228.255,business,US,AS3561 
64.209.229.0,64.209.230.159,isp,US,AS3561 
64.209.230.160,64.209.230.175,business,US,AS3561 
64.209.230.176,64.209.230.207,isp,US,AS3561 
64.209.230.208,64.209.230.239,business,US,AS3561 
64.209.230.240,64.209.231.23,isp,US,AS3561 
64.209.231.24,64.209.231.63,business,US,AS3561 
64.209.231.64,64.209.231.95,isp,US,AS3561 
64.209.231.96,64.209.231.191,business,US,AS3561 
64.209.231.192,64.209.231.207,isp,US,AS3561 
64.209.231.208,64.209.231.215,business,US,AS3561 
64.209.231.216,64.209.231.255,isp,US,AS3561 
64.209.232.0,64.209.233.7,business,US,AS3561 
64.209.233.8,64.209.233.15,isp,US,AS3561 
64.209.233.16,64.209.233.31,business,US,AS3561 
64.209.233.32,64.209.233.255,isp,US,AS3561 
64.209.234.0,64.209.235.31,business,US,AS3561 
64.209.235.32,64.209.235.39,isp,US,AS3561 
64.209.235.40,64.209.235.95,business,US,AS3561 
64.209.235.96,64.209.235.103,isp,US,AS3561 
64.209.235.104,64.209.235.127,business,US,AS3561 
64.209.235.128,64.209.237.255,isp,US,AS3561 
64.209.238.0,64.209.238.255,business,US,AS3561 
64.209.239.0,64.209.239.143,isp,US,AS3561 
64.209.239.144,64.209.239.159,business,US,AS3561 
64.209.239.160,64.209.239.191,isp,US,AS3561 
64.209.239.192,64.209.239.255,business,US,AS3561 
64.209.240.0,64.209.241.255,isp,US,AS3561 
64.209.242.0,64.209.242.255,business,SG,AS3561 
64.209.243.0,64.209.244.159,isp,US,AS3561 
64.209.244.160,64.209.244.167,business,HK,AS3561 
64.209.244.168,64.209.244.191,isp,US,AS3561 
64.209.244.192,64.209.244.223,business,US,AS3561 
64.209.244.224,64.209.245.127,business,HK,AS3561 
64.209.245.128,64.209.245.207,isp,US,AS3561 
64.209.245.208,64.209.245.247,business,HK,AS3561 
64.209.245.248,64.209.248.255,isp,US,AS3561 
64.209.249.0,64.209.249.79,business,HK,AS3561 
64.209.249.80,64.209.249.87,isp,US,AS3561 
64.209.249.88,64.209.249.151,business,HK,AS3561 
64.209.249.152,64.209.249.159,isp,US,AS3561 
64.209.249.160,64.209.249.255,business,HK,AS3561 
64.209.250.0,64.209.250.255,isp,US,AS3561 
64.209.251.0,64.209.251.71,business,HK,AS3561 
64.209.251.72,64.209.251.95,isp,US,AS3561 
64.209.251.96,64.209.252.63,business,HK,AS3561 
64.209.252.64,64.209.255.255,isp,US,AS3561 
