81.253.0.0,81.253.95.255,isp,FR,AS28708 
81.253.218.7,81.253.218.7,isp,FR,AS3215 
81.253.218.8,81.253.218.9,isp,FR, 
81.253.218.10,81.253.218.15,isp,FR,AS3215 
81.253.218.16,81.253.218.63,isp,FR, 
81.253.218.64,81.253.218.127,isp,FR,AS3215 
81.253.218.128,81.253.218.163,isp,FR, 
81.253.218.164,81.253.218.255,isp,FR,AS3215 
81.253.219.0,81.253.219.135,isp,FR, 
81.253.219.136,81.253.219.143,isp,FR,AS3215 
81.253.219.144,81.253.219.167,isp,FR, 
81.253.219.168,81.253.219.171,isp,FR,AS3215 
81.253.219.172,81.253.219.187,isp,FR, 
81.253.219.188,81.253.219.191,isp,FR,AS3215 
81.253.219.192,81.253.232.223,isp,FR, 
81.253.232.224,81.253.232.255,isp,FR,AS3215 
81.253.233.0,81.253.235.143,isp,FR, 
81.253.235.144,81.253.236.63,isp,FR,AS3215 
81.253.236.64,81.253.236.127,isp,FR, 
81.253.236.128,81.253.236.191,isp,FR,AS3215 
81.253.236.192,81.253.236.255,business,FR, 
81.253.237.0,81.253.237.255,isp,FR, 
81.253.238.0,81.253.238.47,isp,FR,AS3215 
81.253.238.48,81.253.238.79,isp,FR, 
81.253.238.80,81.253.238.103,isp,FR,AS3215 
81.253.238.104,81.253.238.107,business,FR, 
81.253.238.108,81.253.238.111,isp,FR,AS3215 
81.253.238.112,81.253.238.119,business,FR, 
81.253.238.120,81.253.238.127,isp,FR, 
81.253.238.128,81.253.238.135,business,FR, 
81.253.238.136,81.253.238.147,isp,FR, 
81.253.238.148,81.253.238.151,isp,FR,AS3215 
81.253.238.152,81.253.238.171,business,FR, 
81.253.238.172,81.253.238.181,isp,FR, 
81.253.238.182,81.253.238.191,isp,FR,AS3215 
81.253.238.192,81.253.238.223,business,FR, 
81.253.238.224,81.253.238.232,isp,FR,AS3215 
81.253.238.233,81.253.238.233,isp,FR, 
81.253.238.234,81.253.238.239,isp,FR,AS3215 
81.253.238.240,81.253.238.255,business,FR, 
81.253.239.0,81.253.239.79,isp,FR, 
81.253.239.80,81.253.239.255,isp,FR,AS3215 
81.253.240.0,81.253.255.255,isp,JO, 
