41.202.0.0,41.202.31.255,isp,MU,AS8452 
41.202.163.104,41.202.163.111,isp,SD, 
41.202.163.112,41.202.163.255,business,SD,AS33788 
41.202.164.0,41.202.164.255,isp,SD, 
41.202.165.0,41.202.165.255,business,SD,AS33788 
41.202.166.0,41.202.166.255,isp,SD, 
41.202.167.0,41.202.167.255,business,SD, 
41.202.168.0,41.202.191.255,isp,SD, 
41.202.192.0,41.202.199.255,isp,CM,AS36912 
41.202.200.0,41.202.205.255,business,CM,AS36912 
41.202.206.0,41.202.207.255,isp,CM,AS36912 
41.202.208.0,41.202.214.15,business,CM,AS36912 
41.202.214.16,41.202.214.75,isp,CM,AS36912 
41.202.214.76,41.202.214.83,business,CM,AS36912 
41.202.214.84,41.202.214.103,isp,CM,AS36912 
41.202.214.104,41.202.214.107,business,CM,AS36912 
41.202.214.108,41.202.214.191,isp,CM,AS36912 
41.202.214.192,41.202.214.199,business,CM,AS36912 
41.202.214.200,41.202.214.243,isp,CM,AS36912 
41.202.214.244,41.202.214.247,business,CM,AS36912 
41.202.214.248,41.202.214.251,isp,CM,AS36912 
41.202.214.252,41.202.214.255,business,CM,AS36912 
41.202.215.0,41.202.215.31,isp,CM,AS36912 
41.202.215.32,41.202.215.35,business,CM,AS36912 
41.202.215.36,41.202.215.39,isp,CM,AS36912 
41.202.215.40,41.202.215.43,business,CM,AS36912 
41.202.215.44,41.202.215.47,isp,CM,AS36912 
41.202.215.48,41.202.215.51,business,CM,AS36912 
41.202.215.52,41.202.215.71,isp,CM,AS36912 
41.202.215.72,41.202.215.87,business,CM,AS36912 
41.202.215.88,41.202.215.99,isp,CM,AS36912 
41.202.215.100,41.202.215.103,business,CM,AS36912 
41.202.215.104,41.202.215.107,isp,CM,AS36912 
41.202.215.108,41.202.215.115,business,CM,AS36912 
41.202.215.116,41.202.215.127,isp,CM,AS36912 
41.202.215.128,41.202.215.139,business,CM,AS36912 
41.202.215.140,41.202.215.143,isp,CM,AS36912 
41.202.215.144,41.202.215.151,business,CM,AS36912 
41.202.215.152,41.202.215.159,isp,CM,AS36912 
41.202.215.160,41.202.215.163,business,CM,AS36912 
41.202.215.164,41.202.215.171,isp,CM,AS36912 
41.202.215.172,41.202.215.175,business,CM,AS36912 
41.202.215.176,41.202.215.179,isp,CM,AS36912 
41.202.215.180,41.202.215.191,business,CM,AS36912 
41.202.215.192,41.202.215.231,isp,CM,AS36912 
41.202.215.232,41.202.215.235,business,CM,AS36912 
41.202.215.236,41.202.215.255,isp,CM,AS36912 
41.202.216.0,41.202.216.3,business,CM,AS36912 
41.202.216.4,41.202.216.7,isp,CM,AS36912 
41.202.216.8,41.202.216.15,business,CM,AS36912 
41.202.216.16,41.202.216.19,isp,CM,AS36912 
41.202.216.20,41.202.216.23,business,CM,AS36912 
41.202.216.24,41.202.216.75,isp,CM,AS36912 
41.202.216.76,41.202.216.79,business,CM,AS36912 
41.202.216.80,41.202.216.123,isp,CM,AS36912 
41.202.216.124,41.202.216.127,business,CM,AS36912 
41.202.216.128,41.202.216.151,isp,CM,AS36912 
41.202.216.152,41.202.216.155,business,CM,AS36912 
41.202.216.156,41.202.216.191,isp,CM,AS36912 
41.202.216.192,41.202.216.207,business,CM,AS36912 
41.202.216.208,41.202.221.7,isp,CM,AS36912 
41.202.221.8,41.202.221.11,business,CM,AS36912 
41.202.221.12,41.202.221.15,isp,CM,AS36912 
41.202.221.16,41.202.221.31,business,CM,AS36912 
41.202.221.32,41.202.221.35,isp,CM,AS36912 
41.202.221.36,41.202.221.39,business,CM,AS36912 
41.202.221.40,41.202.221.71,isp,CM,AS36912 
41.202.221.72,41.202.221.91,business,CM,AS36912 
41.202.221.92,41.202.221.99,isp,CM,AS36912 
41.202.221.100,41.202.221.115,business,CM,AS36912 
41.202.221.116,41.202.221.119,isp,CM,AS36912 
41.202.221.120,41.202.221.131,business,CM,AS36912 
41.202.221.132,41.202.221.143,isp,CM,AS36912 
41.202.221.144,41.202.221.167,business,CM,AS36912 
41.202.221.168,41.202.221.175,isp,CM,AS36912 
41.202.221.176,41.202.221.199,business,CM,AS36912 
41.202.221.200,41.202.221.203,isp,CM,AS36912 
41.202.221.204,41.202.221.215,business,CM,AS36912 
41.202.221.216,41.202.221.219,isp,CM,AS36912 
41.202.221.220,41.202.221.235,business,CM,AS36912 
41.202.221.236,41.202.221.243,isp,CM,AS36912 
41.202.221.244,41.202.221.251,business,CM,AS36912 
41.202.221.252,41.202.221.255,isp,CM,AS36912 
41.202.222.0,41.202.222.63,business,CM,AS36912 
41.202.222.64,41.202.222.71,isp,CM,AS36912 
41.202.222.72,41.202.222.87,business,CM,AS36912 
41.202.222.88,41.202.222.91,isp,CM,AS36912 
41.202.222.92,41.202.222.99,business,CM,AS36912 
41.202.222.100,41.202.222.103,isp,CM,AS36912 
41.202.222.104,41.202.222.111,business,CM,AS36912 
41.202.222.112,41.202.222.115,isp,CM,AS36912 
41.202.222.116,41.202.222.119,business,CM,AS36912 
41.202.222.120,41.202.222.143,isp,CM,AS36912 
41.202.222.144,41.202.222.147,business,CM,AS36912 
41.202.222.148,41.202.222.151,isp,CM,AS36912 
41.202.222.152,41.202.222.163,business,CM,AS36912 
41.202.222.164,41.202.222.167,isp,CM,AS36912 
41.202.222.168,41.202.222.171,business,CM,AS36912 
41.202.222.172,41.202.222.183,isp,CM,AS36912 
41.202.222.184,41.202.222.187,business,CM,AS36912 
41.202.222.188,41.202.222.199,isp,CM,AS36912 
41.202.222.200,41.202.222.203,business,CM,AS36912 
41.202.222.204,41.202.222.219,isp,CM,AS36912 
41.202.222.220,41.202.222.223,business,CM,AS36912 
41.202.222.224,41.202.222.239,isp,CM,AS36912 
41.202.222.240,41.202.222.243,business,CM,AS36912 
41.202.222.244,41.202.222.251,isp,CM,AS36912 
41.202.222.252,41.202.223.3,business,CM,AS36912 
41.202.223.4,41.202.223.7,isp,CM,AS36912 
41.202.223.8,41.202.223.15,business,CM,AS36912 
41.202.223.16,41.202.223.143,isp,CM,AS36912 
41.202.223.144,41.202.223.147,business,CM,AS36912 
41.202.223.148,41.202.223.155,isp,CM,AS36912 
41.202.223.156,41.202.223.159,business,CM,AS36912 
41.202.223.160,41.202.223.255,isp,CM,AS36912 
41.202.224.0,41.202.255.255,isp,UG,AS328198 
