207.136.0.0,207.136.63.255,isp,AU,AS38333 
207.136.202.80,207.136.202.95,isp,US,AS5738 
207.136.202.96,207.136.202.127,business,US,AS5738 
207.136.202.128,207.136.202.135,isp,US,AS5738 
207.136.202.136,207.136.202.143,business,US,AS5738 
207.136.202.144,207.136.202.151,isp,US,AS5738 
207.136.202.152,207.136.202.167,business,US,AS5738 
207.136.202.168,207.136.202.175,isp,US,AS5738 
207.136.202.176,207.136.202.183,business,US,AS5738 
207.136.202.184,207.136.202.191,isp,US,AS5738 
207.136.202.192,207.136.202.223,business,US,AS5738 
207.136.202.224,207.136.202.247,isp,US,AS5738 
207.136.202.248,207.136.202.255,business,US,AS5738 
207.136.203.0,207.136.203.111,isp,US,AS5738 
207.136.203.112,207.136.203.119,business,US,AS5738 
207.136.203.120,207.136.203.255,isp,US,AS5738 
207.136.204.0,207.136.204.255,isp,US,AS54989 
207.136.205.0,207.136.206.15,isp,US,AS5738 
207.136.206.16,207.136.206.23,business,US,AS5738 
207.136.206.24,207.136.206.47,isp,US,AS5738 
207.136.206.48,207.136.206.95,business,US,AS5738 
207.136.206.96,207.136.206.103,isp,US,AS5738 
207.136.206.104,207.136.206.127,business,US,AS5738 
207.136.206.128,207.136.206.135,isp,US,AS5738 
207.136.206.136,207.136.206.143,business,US,AS5738 
207.136.206.144,207.136.206.151,isp,US,AS5738 
207.136.206.152,207.136.206.167,business,US,AS5738 
207.136.206.168,207.136.206.175,isp,US,AS5738 
207.136.206.176,207.136.206.183,business,US,AS5738 
207.136.206.184,207.136.206.191,isp,US,AS5738 
207.136.206.192,207.136.206.199,business,US,AS5738 
207.136.206.200,207.136.206.207,isp,US,AS5738 
207.136.206.208,207.136.206.231,business,US,AS5738 
207.136.206.232,207.136.207.63,isp,US,AS5738 
207.136.207.64,207.136.207.71,business,US,AS5738 
207.136.207.72,207.136.207.87,isp,US,AS5738 
207.136.207.88,207.136.207.95,business,US,AS5738 
207.136.207.96,207.136.207.119,isp,US,AS5738 
207.136.207.120,207.136.207.127,business,US,AS5738 
207.136.207.128,207.136.207.159,isp,US,AS5738 
207.136.207.160,207.136.207.167,business,US,AS5738 
207.136.207.168,207.136.207.191,isp,US,AS5738 
207.136.207.192,207.136.207.207,business,US,AS5738 
207.136.207.208,207.136.207.255,isp,US,AS5738 
207.136.208.0,207.136.208.7,business,US,AS5738 
207.136.208.8,207.136.208.23,isp,US,AS5738 
207.136.208.24,207.136.208.31,business,US,AS5738 
207.136.208.32,207.136.208.63,isp,US,AS5738 
207.136.208.64,207.136.208.103,business,US,AS5738 
207.136.208.104,207.136.208.111,isp,US,AS5738 
207.136.208.112,207.136.208.119,business,US,AS5738 
207.136.208.120,207.136.208.127,isp,US,AS5738 
207.136.208.128,207.136.208.135,business,US,AS5738 
207.136.208.136,207.136.208.175,isp,US,AS5738 
207.136.208.176,207.136.208.183,business,US,AS5738 
207.136.208.184,207.136.208.191,isp,US,AS5738 
207.136.208.192,207.136.208.199,business,US,AS5738 
207.136.208.200,207.136.208.255,isp,US,AS5738 
207.136.209.0,207.136.209.15,business,US,AS5738 
207.136.209.16,207.136.209.31,isp,US,AS5738 
207.136.209.32,207.136.209.47,business,US,AS5738 
207.136.209.48,207.136.209.55,isp,US,AS5738 
207.136.209.56,207.136.209.71,business,US,AS5738 
207.136.209.72,207.136.209.79,isp,US,AS5738 
207.136.209.80,207.136.209.87,business,US,AS5738 
207.136.209.88,207.136.209.119,isp,US,AS5738 
207.136.209.120,207.136.209.175,business,US,AS5738 
207.136.209.176,207.136.209.191,isp,US,AS5738 
207.136.209.192,207.136.209.207,business,US,AS5738 
207.136.209.208,207.136.209.215,isp,US,AS5738 
207.136.209.216,207.136.210.15,business,US,AS5738 
207.136.210.16,207.136.210.63,isp,US,AS5738 
207.136.210.64,207.136.210.79,business,US,AS5738 
207.136.210.80,207.136.210.127,isp,US,AS5738 
207.136.210.128,207.136.210.159,business,US,AS5738 
207.136.210.160,207.136.210.175,isp,US,AS5738 
207.136.210.176,207.136.210.199,business,US,AS5738 
207.136.210.200,207.136.210.207,isp,US,AS5738 
207.136.210.208,207.136.210.231,business,US,AS5738 
207.136.210.232,207.136.210.247,isp,US,AS5738 
207.136.210.248,207.136.210.255,business,US,AS5738 
207.136.211.0,207.136.211.255,isp,US,AS5738 
207.136.212.0,207.136.212.7,business,US,AS5738 
207.136.212.8,207.136.212.31,isp,US,AS5738 
207.136.212.32,207.136.212.47,business,US,AS5738 
207.136.212.48,207.136.212.79,isp,US,AS5738 
207.136.212.80,207.136.212.87,business,US,AS5738 
207.136.212.88,207.136.212.103,isp,US,AS5738 
207.136.212.104,207.136.212.111,business,US,AS5738 
207.136.212.112,207.136.212.127,isp,US,AS5738 
207.136.212.128,207.136.212.199,business,US,AS5738 
207.136.212.200,207.136.212.207,isp,US,AS5738 
207.136.212.208,207.136.212.223,business,US,AS5738 
207.136.212.224,207.136.213.255,isp,US,AS5738 
207.136.214.0,207.136.214.47,business,US,AS5738 
207.136.214.48,207.136.214.103,isp,US,AS5738 
207.136.214.104,207.136.214.119,business,US,AS5738 
207.136.214.120,207.136.214.175,isp,US,AS5738 
207.136.214.176,207.136.214.183,business,US,AS5738 
207.136.214.184,207.136.214.199,isp,US,AS5738 
207.136.214.200,207.136.214.207,business,US,AS5738 
207.136.214.208,207.136.214.215,isp,US,AS5738 
207.136.214.216,207.136.214.223,business,US,AS5738 
207.136.214.224,207.136.215.143,isp,US,AS5738 
207.136.215.144,207.136.215.159,business,US,AS5738 
207.136.215.160,207.136.215.175,isp,US,AS5738 
207.136.215.176,207.136.215.183,business,US,AS5738 
207.136.215.184,207.136.215.199,isp,US,AS5738 
207.136.215.200,207.136.215.207,business,US,AS5738 
207.136.215.208,207.136.215.215,isp,US,AS5738 
207.136.215.216,207.136.215.231,business,US,AS5738 
207.136.215.232,207.136.219.31,isp,US,AS5738 
207.136.219.32,207.136.219.47,business,US,AS5738 
207.136.219.48,207.136.219.63,isp,US,AS5738 
207.136.219.64,207.136.219.71,business,US,AS5738 
207.136.219.72,207.136.219.79,isp,US,AS5738 
207.136.219.80,207.136.219.87,business,US,AS5738 
207.136.219.88,207.136.219.95,isp,US,AS5738 
207.136.219.96,207.136.219.127,business,US,AS5738 
207.136.219.128,207.136.219.191,isp,US,AS5738 
207.136.219.192,207.136.219.223,business,US,AS5738 
207.136.219.224,207.136.219.239,isp,US,AS5738 
207.136.219.240,207.136.219.255,business,US,AS5738 
207.136.220.0,207.136.222.15,isp,US,AS5738 
207.136.222.16,207.136.222.23,business,US,AS5738 
207.136.222.24,207.136.222.39,isp,US,AS5738 
207.136.222.40,207.136.222.55,business,US,AS5738 
207.136.222.56,207.136.222.127,isp,US,AS5738 
207.136.222.128,207.136.222.151,business,US,AS5738 
207.136.222.152,207.136.222.159,isp,US,AS5738 
207.136.222.160,207.136.222.167,business,US,AS5738 
207.136.222.168,207.136.222.175,isp,US,AS5738 
207.136.222.176,207.136.222.183,business,US,AS5738 
207.136.222.184,207.136.222.191,isp,US,AS5738 
207.136.222.192,207.136.222.207,business,US,AS5738 
207.136.222.208,207.136.222.223,isp,US,AS5738 
207.136.222.224,207.136.222.247,business,US,AS5738 
207.136.222.248,207.136.223.15,isp,US,AS5738 
207.136.223.16,207.136.223.23,business,US,AS5738 
207.136.223.24,207.136.223.31,isp,US,AS5738 
207.136.223.32,207.136.223.47,business,US,AS5738 
207.136.223.48,207.136.223.55,isp,US,AS5738 
207.136.223.56,207.136.223.79,business,US,AS5738 
207.136.223.80,207.136.223.95,isp,US,AS5738 
207.136.223.96,207.136.223.127,business,US,AS5738 
207.136.223.128,207.136.223.143,isp,US,AS5738 
207.136.223.144,207.136.223.151,business,US,AS5738 
207.136.223.152,207.136.223.159,isp,US,AS5738 
207.136.223.160,207.136.223.175,business,US,AS5738 
207.136.223.176,207.136.224.63,isp,US,AS5738 
207.136.224.64,207.136.224.71,business,US,AS5738 
207.136.224.72,207.136.224.79,isp,US,AS5738 
207.136.224.80,207.136.224.87,business,US,AS5738 
207.136.224.88,207.136.224.95,isp,US,AS5738 
207.136.224.96,207.136.224.111,business,US,AS5738 
207.136.224.112,207.136.224.119,isp,US,AS5738 
207.136.224.120,207.136.224.127,business,US,AS5738 
207.136.224.128,207.136.224.135,isp,US,AS5738 
207.136.224.136,207.136.224.143,business,US,AS5738 
207.136.224.144,207.136.224.183,isp,US,AS5738 
207.136.224.184,207.136.224.191,business,US,AS5738 
207.136.224.192,207.136.224.207,isp,US,AS5738 
207.136.224.208,207.136.224.223,business,US,AS5738 
207.136.224.224,207.136.224.239,isp,US,AS5738 
207.136.224.240,207.136.224.247,business,US,AS5738 
207.136.224.248,207.136.224.255,isp,US,AS5738 
207.136.225.0,207.136.225.31,business,US,AS5738 
207.136.225.32,207.136.225.63,isp,US,AS5738 
207.136.225.64,207.136.225.103,business,US,AS5738 
207.136.225.104,207.136.225.111,isp,US,AS5738 
207.136.225.112,207.136.225.119,business,US,AS5738 
207.136.225.120,207.136.225.127,isp,US,AS5738 
207.136.225.128,207.136.225.135,business,US,AS5738 
207.136.225.136,207.136.225.143,isp,US,AS5738 
207.136.225.144,207.136.225.167,business,US,AS5738 
207.136.225.168,207.136.225.175,isp,US,AS5738 
207.136.225.176,207.136.225.199,business,US,AS5738 
207.136.225.200,207.136.225.207,isp,US,AS5738 
207.136.225.208,207.136.225.215,business,US,AS5738 
207.136.225.216,207.136.225.231,isp,US,AS5738 
207.136.225.232,207.136.225.239,business,US,AS5738 
207.136.225.240,207.136.226.31,isp,US,AS5738 
207.136.226.32,207.136.226.47,business,US,AS5738 
207.136.226.48,207.136.226.71,isp,US,AS5738 
207.136.226.72,207.136.226.79,business,US,AS5738 
207.136.226.80,207.136.226.119,isp,US,AS5738 
207.136.226.120,207.136.226.127,business,US,AS5738 
207.136.226.128,207.136.226.191,isp,US,AS5738 
207.136.226.192,207.136.226.207,business,US,AS5738 
207.136.226.208,207.136.226.223,isp,US,AS5738 
207.136.226.224,207.136.226.231,business,US,AS5738 
207.136.226.232,207.136.226.239,isp,US,AS5738 
207.136.226.240,207.136.226.247,business,US,AS5738 
207.136.226.248,207.136.227.127,isp,US,AS5738 
207.136.227.128,207.136.227.151,business,US,AS5738 
207.136.227.152,207.136.227.207,isp,US,AS5738 
207.136.227.208,207.136.227.255,business,US,AS5738 
207.136.228.0,207.136.228.31,isp,US,AS5738 
207.136.228.32,207.136.228.63,education,US,AS5738 
207.136.228.64,207.136.228.79,isp,US,AS5738 
207.136.228.80,207.136.228.87,business,US,AS5738 
207.136.228.88,207.136.228.95,isp,US,AS5738 
207.136.228.96,207.136.228.111,business,US,AS5738 
207.136.228.112,207.136.228.127,isp,US,AS5738 
207.136.228.128,207.136.228.143,business,US,AS5738 
207.136.228.144,207.136.228.159,isp,US,AS5738 
207.136.228.160,207.136.228.191,business,US,AS5738 
207.136.228.192,207.136.228.207,isp,US,AS5738 
207.136.228.208,207.136.228.231,business,US,AS5738 
207.136.228.232,207.136.228.239,isp,US,AS5738 
207.136.228.240,207.136.228.247,business,US,AS5738 
207.136.228.248,207.136.228.255,isp,US,AS5738 
207.136.229.0,207.136.229.255,business,US,AS5738 
207.136.230.0,207.136.230.23,isp,US,AS5738 
207.136.230.24,207.136.230.79,business,US,AS5738 
207.136.230.80,207.136.230.87,isp,US,AS5738 
207.136.230.88,207.136.230.95,business,US,AS5738 
207.136.230.96,207.136.230.111,isp,US,AS5738 
207.136.230.112,207.136.230.143,business,US,AS5738 
207.136.230.144,207.136.231.31,isp,US,AS5738 
207.136.231.32,207.136.231.63,business,US,AS5738 
207.136.231.64,207.136.231.79,isp,US,AS5738 
207.136.231.80,207.136.231.103,business,US,AS5738 
207.136.231.104,207.136.231.143,isp,US,AS5738 
207.136.231.144,207.136.231.159,business,US,AS5738 
207.136.231.160,207.136.231.231,isp,US,AS5738 
207.136.231.232,207.136.231.247,business,US,AS5738 
207.136.231.248,207.136.235.63,isp,US,AS5738 
207.136.235.64,207.136.235.95,business,US,AS5738 
207.136.235.96,207.136.235.111,isp,US,AS5738 
207.136.235.112,207.136.235.119,business,US,AS5738 
207.136.235.120,207.136.235.191,isp,US,AS5738 
207.136.235.192,207.136.235.215,business,US,AS5738 
207.136.235.216,207.136.235.223,isp,US,AS5738 
207.136.235.224,207.136.235.239,business,US,AS5738 
207.136.235.240,207.136.236.31,isp,US,AS5738 
207.136.236.32,207.136.236.39,business,US,AS5738 
207.136.236.40,207.136.236.87,isp,US,AS5738 
207.136.236.88,207.136.236.95,business,US,AS5738 
207.136.236.96,207.136.236.103,isp,US,AS5738 
207.136.236.104,207.136.236.111,business,US,AS5738 
207.136.236.112,207.136.236.159,isp,US,AS5738 
207.136.236.160,207.136.236.175,business,US,AS5738 
207.136.236.176,207.136.236.183,isp,US,AS5738 
207.136.236.184,207.136.236.191,business,US,AS5738 
207.136.236.192,207.136.236.215,isp,US,AS5738 
207.136.236.216,207.136.236.223,business,US,AS5738 
207.136.236.224,207.136.239.7,isp,US,AS5738 
207.136.239.8,207.136.239.15,business,US,AS5738 
207.136.239.16,207.136.239.31,isp,US,AS5738 
207.136.239.32,207.136.239.87,business,US,AS5738 
207.136.239.88,207.136.239.95,isp,US,AS5738 
207.136.239.96,207.136.239.103,business,US,AS5738 
207.136.239.104,207.136.239.127,isp,US,AS5738 
207.136.239.128,207.136.239.167,business,US,AS5738 
207.136.239.168,207.136.239.191,isp,US,AS5738 
207.136.239.192,207.136.239.199,business,US,AS5738 
207.136.239.200,207.136.239.207,isp,US,AS5738 
207.136.239.208,207.136.239.215,business,US,AS5738 
207.136.239.216,207.136.239.231,isp,US,AS5738 
207.136.239.232,207.136.239.239,business,US,AS5738 
207.136.239.240,207.136.241.79,isp,US,AS5738 
207.136.241.80,207.136.241.87,business,US,AS5738 
207.136.241.88,207.136.241.207,isp,US,AS5738 
207.136.241.208,207.136.241.239,business,US,AS5738 
207.136.241.240,207.136.243.255,isp,US,AS5738 
207.136.244.0,207.136.244.7,business,US,AS5738 
207.136.244.8,207.136.244.31,isp,US,AS5738 
207.136.244.32,207.136.244.39,business,US,AS5738 
207.136.244.40,207.136.244.47,isp,US,AS5738 
207.136.244.48,207.136.244.55,business,US,AS5738 
207.136.244.56,207.136.244.63,isp,US,AS5738 
207.136.244.64,207.136.244.71,business,US,AS5738 
207.136.244.72,207.136.244.79,isp,US,AS5738 
207.136.244.80,207.136.244.87,business,US,AS5738 
207.136.244.88,207.136.244.95,isp,US,AS5738 
207.136.244.96,207.136.244.111,business,US,AS5738 
207.136.244.112,207.136.244.127,isp,US,AS5738 
207.136.244.128,207.136.244.135,business,US,AS5738 
207.136.244.136,207.136.244.143,isp,US,AS5738 
207.136.244.144,207.136.244.159,business,US,AS5738 
207.136.244.160,207.136.244.183,isp,US,AS5738 
207.136.244.184,207.136.244.191,business,US,AS5738 
207.136.244.192,207.136.244.255,isp,US,AS5738 
207.136.245.0,207.136.245.255,education,US,AS13536 
207.136.246.0,207.136.246.7,business,US,AS5738 
207.136.246.8,207.136.246.23,isp,US,AS5738 
207.136.246.24,207.136.246.39,business,US,AS5738 
207.136.246.40,207.136.246.47,isp,US,AS5738 
207.136.246.48,207.136.246.63,business,US,AS5738 
207.136.246.64,207.136.246.111,isp,US,AS5738 
207.136.246.112,207.136.246.151,business,US,AS5738 
207.136.246.152,207.136.246.187,isp,US,AS5738 
207.136.246.188,207.136.246.223,business,US,AS5738 
207.136.246.224,207.136.246.231,isp,US,AS5738 
207.136.246.232,207.136.246.239,business,US,AS5738 
207.136.246.240,207.136.246.255,isp,US,AS5738 
207.136.247.0,207.136.247.255,business,US,AS13536 
207.136.248.0,207.136.249.255,isp,US,AS5738 
207.136.250.0,207.136.250.255,education,US,AS13536 
207.136.251.0,207.136.251.7,business,US,AS5738 
207.136.251.8,207.136.251.23,isp,US,AS5738 
207.136.251.24,207.136.251.55,business,US,AS5738 
207.136.251.56,207.136.251.63,isp,US,AS5738 
207.136.251.64,207.136.251.111,business,US,AS5738 
207.136.251.112,207.136.251.135,isp,US,AS5738 
207.136.251.136,207.136.251.151,business,US,AS5738 
207.136.251.152,207.136.251.215,isp,US,AS5738 
207.136.251.216,207.136.251.239,business,US,AS5738 
207.136.251.240,207.136.251.247,isp,US,AS5738 
207.136.251.248,207.136.251.255,business,US,AS5738 
207.136.252.0,207.136.252.63,isp,US,AS5738 
207.136.252.64,207.136.252.79,business,US,AS5738 
207.136.252.80,207.136.252.87,isp,US,AS5738 
207.136.252.88,207.136.252.95,business,US,AS5738 
207.136.252.96,207.136.252.103,isp,US,AS5738 
207.136.252.104,207.136.252.111,business,US,AS5738 
207.136.252.112,207.136.252.127,isp,US,AS5738 
207.136.252.128,207.136.252.191,business,US,AS5738 
207.136.252.192,207.136.252.255,isp,US,AS5738 
207.136.253.0,207.136.253.7,business,US,AS5738 
207.136.253.8,207.136.253.15,isp,US,AS5738 
207.136.253.16,207.136.253.39,business,US,AS5738 
207.136.253.40,207.136.253.71,isp,US,AS5738 
207.136.253.72,207.136.253.79,business,US,AS5738 
207.136.253.80,207.136.253.87,isp,US,AS5738 
207.136.253.88,207.136.253.95,business,US,AS5738 
207.136.253.96,207.136.253.127,isp,US,AS5738 
207.136.253.128,207.136.253.159,business,US,AS5738 
207.136.253.160,207.136.254.7,isp,US,AS5738 
207.136.254.8,207.136.254.15,business,US,AS5738 
207.136.254.16,207.136.254.23,isp,US,AS5738 
207.136.254.24,207.136.254.31,business,US,AS5738 
207.136.254.32,207.136.254.39,isp,US,AS5738 
207.136.254.40,207.136.254.63,business,US,AS5738 
207.136.254.64,207.136.254.87,isp,US,AS5738 
207.136.254.88,207.136.254.95,business,US,AS5738 
207.136.254.96,207.136.254.191,isp,US,AS5738 
207.136.254.192,207.136.254.207,business,US,AS5738 
207.136.254.208,207.136.254.223,isp,US,AS5738 
207.136.254.224,207.136.254.255,business,US,AS5738 
207.136.255.0,207.136.255.23,isp,US,AS5738 
207.136.255.24,207.136.255.31,business,US,AS5738 
207.136.255.32,207.136.255.71,isp,US,AS5738 
207.136.255.72,207.136.255.79,business,US,AS5738 
207.136.255.80,207.136.255.95,isp,US,AS5738 
207.136.255.96,207.136.255.111,business,US,AS5738 
207.136.255.112,207.136.255.127,isp,US,AS5738 
207.136.255.128,207.136.255.135,business,US,AS5738 
207.136.255.136,207.136.255.159,isp,US,AS5738 
207.136.255.160,207.136.255.167,business,US,AS5738 
207.136.255.168,207.136.255.175,isp,US,AS5738 
207.136.255.176,207.136.255.183,business,US,AS5738 
207.136.255.184,207.136.255.223,isp,US,AS5738 
207.136.255.224,207.136.255.239,business,US,AS5738 
207.136.255.240,207.136.255.255,isp,US,AS5738 
