207.166.0.0,207.166.20.255,education,US 
207.166.202.0,207.166.202.127,business,US 
207.166.202.128,207.166.202.255,isp,US 
207.166.203.0,207.166.204.255,business,US 
207.166.205.0,207.166.205.255,hosting,US 
207.166.206.0,207.166.207.255,business,US 
207.166.208.0,207.166.208.15,education,US 
207.166.208.16,207.166.210.255,business,US 
207.166.211.0,207.166.211.255,isp,US 
207.166.212.0,207.166.213.255,business,US 
207.166.214.0,207.166.214.255,hosting,US 
207.166.215.0,207.166.215.255,business,US 
207.166.216.0,207.166.216.255,education,US 
207.166.217.0,207.166.221.255,business,US 
207.166.222.0,207.166.222.63,hosting,US 
207.166.222.64,207.166.222.91,isp,US 
207.166.222.92,207.166.222.95,business,US 
207.166.222.96,207.166.222.127,hosting,US 
207.166.222.128,207.166.223.255,business,US 
207.166.224.0,207.166.229.255,education,US 
207.166.230.0,207.166.231.255,education, 
207.166.232.0,207.166.233.255,education,US 
207.166.234.0,207.166.235.255,education, 
207.166.236.0,207.166.255.255,education,US 
