61.128.0.0,61.128.98.191,isp,CN,AS4134 
61.128.109.204,61.128.109.207,education,CN,AS4134 
61.128.109.208,61.128.109.223,business,CN,AS4134 
61.128.109.224,61.128.109.239,isp,CN,AS4134 
61.128.109.240,61.128.109.255,business,CN,AS4134 
61.128.110.0,61.128.110.7,education,CN,AS4134 
61.128.110.8,61.128.110.11,business,CN,AS4134 
61.128.110.12,61.128.110.63,isp,CN,AS4134 
61.128.110.64,61.128.110.75,education,CN,AS4134 
61.128.110.76,61.128.110.83,business,CN,AS4134 
61.128.110.84,61.128.110.187,isp,CN,AS4134 
61.128.110.188,61.128.110.191,education,CN,AS4134 
61.128.110.192,61.128.110.223,isp,CN,AS4134 
61.128.110.224,61.128.110.239,business,CN,AS4134 
61.128.110.240,61.128.110.243,isp,CN,AS4134 
61.128.110.244,61.128.110.255,business,CN,AS4134 
61.128.111.0,61.128.111.3,isp,CN,AS4134 
61.128.111.4,61.128.111.7,education,CN,AS4134 
61.128.111.8,61.128.111.59,isp,CN,AS4134 
61.128.111.60,61.128.111.67,education,CN,AS4134 
61.128.111.68,61.128.111.127,isp,CN,AS4134 
61.128.111.128,61.128.111.131,education,CN,AS4134 
61.128.111.132,61.128.111.139,business,CN,AS4134 
61.128.111.140,61.128.111.227,isp,CN,AS4134 
61.128.111.228,61.128.111.231,business,CN,AS4134 
61.128.111.232,61.128.111.235,isp,CN,AS4134 
61.128.111.236,61.128.111.239,business,CN,AS4134 
61.128.111.240,61.128.111.243,isp,CN,AS4134 
61.128.111.244,61.128.111.247,business,CN,AS4134 
61.128.111.248,61.128.111.255,education,CN,AS4134 
61.128.112.0,61.128.124.255,isp,CN,AS4134 
61.128.125.0,61.128.125.3,education,CN,AS4134 
61.128.125.4,61.128.125.31,isp,CN,AS4134 
61.128.125.32,61.128.125.79,business,CN,AS4134 
61.128.125.80,61.128.125.83,education,CN,AS4134 
61.128.125.84,61.128.125.95,isp,CN,AS4134 
61.128.125.96,61.128.125.111,business,CN,AS4134 
61.128.125.112,61.128.127.255,isp,CN,AS4134 
61.128.128.0,61.128.131.3,business,CN,AS4134 
61.128.131.4,61.128.131.11,isp,CN,AS4134 
61.128.131.12,61.128.131.127,business,CN,AS4134 
61.128.131.128,61.128.131.131,isp,CN,AS4134 
61.128.131.132,61.128.132.1,business,CN,AS4134 
61.128.132.2,61.128.132.2,isp,CN,AS4134 
61.128.132.3,61.128.157.255,business,CN,AS4134 
61.128.158.0,61.128.158.3,isp,CN,AS4134 
61.128.158.4,61.128.158.7,business,CN,AS4134 
61.128.158.8,61.128.158.95,isp,CN,AS4134 
61.128.158.96,61.128.158.99,business,CN,AS4134 
61.128.158.100,61.128.158.119,isp,CN,AS4134 
61.128.158.120,61.128.158.127,business,CN,AS4134 
61.128.158.128,61.128.158.247,isp,CN,AS4134 
61.128.158.248,61.128.160.7,business,CN,AS4134 
61.128.160.8,61.128.160.15,isp,CN,AS4134 
61.128.160.16,61.128.160.31,business,CN,AS4134 
61.128.160.32,61.128.160.35,isp,CN,AS4134 
61.128.160.36,61.128.160.47,business,CN,AS4134 
61.128.160.48,61.128.160.71,isp,CN,AS4134 
61.128.160.72,61.128.160.119,business,CN,AS4134 
61.128.160.120,61.128.160.143,isp,CN,AS4134 
61.128.160.144,61.128.160.147,business,CN,AS4134 
61.128.160.148,61.128.160.151,isp,CN,AS4134 
61.128.160.152,61.128.160.191,business,CN,AS4134 
61.128.160.192,61.128.160.199,isp,CN,AS4134 
61.128.160.200,61.128.161.127,business,CN,AS4134 
61.128.161.128,61.128.161.159,isp,CN,AS4134 
61.128.161.160,61.128.161.175,business,CN,AS4134 
61.128.161.176,61.128.161.179,isp,CN,AS4134 
61.128.161.180,61.128.161.183,business,CN,AS4134 
61.128.161.184,61.128.161.191,isp,CN,AS4134 
61.128.161.192,61.128.161.223,business,CN,AS4134 
61.128.161.224,61.128.161.239,isp,CN,AS4134 
61.128.161.240,61.128.162.64,business,CN,AS4134 
61.128.162.65,61.128.162.70,isp,CN,AS4134 
61.128.162.71,61.128.167.25,business,CN,AS4134 
61.128.167.26,61.128.167.30,isp,CN,AS4134 
61.128.167.31,61.128.167.41,business,CN,AS4134 
61.128.167.42,61.128.167.46,isp,CN,AS4134 
61.128.167.47,61.128.170.161,business,CN,AS4134 
61.128.170.162,61.128.170.162,isp,CN,AS4134 
61.128.170.163,61.128.170.166,business,CN,AS4134 
61.128.170.167,61.128.170.172,isp,CN,AS4134 
61.128.170.173,61.128.170.174,business,CN,AS4134 
61.128.170.175,61.128.170.178,isp,CN,AS4134 
61.128.170.179,61.128.170.180,business,CN,AS4134 
61.128.170.181,61.128.170.182,isp,CN,AS4134 
61.128.170.183,61.128.175.147,business,CN,AS4134 
61.128.175.148,61.128.175.165,isp,CN,AS4134 
61.128.175.166,61.128.175.166,business,CN,AS4134 
61.128.175.167,61.128.175.222,isp,CN,AS4134 
61.128.175.223,61.128.175.223,business,CN,AS4134 
61.128.175.224,61.128.175.255,isp,CN,AS4134 
61.128.176.0,61.128.176.79,business,CN,AS4134 
61.128.176.80,61.128.176.103,isp,CN,AS4134 
61.128.176.104,61.128.179.207,business,CN,AS4134 
61.128.179.208,61.128.179.215,isp,CN,AS4134 
61.128.179.216,61.128.186.159,business,CN,AS4134 
61.128.186.160,61.128.186.167,isp,CN,AS4134 
61.128.186.168,61.128.186.199,business,CN,AS4134 
61.128.186.200,61.128.186.207,isp,CN,AS4134 
61.128.186.208,61.128.186.239,business,CN,AS4134 
61.128.186.240,61.128.186.255,isp,CN,AS4134 
61.128.187.0,61.128.194.255,business,CN,AS4134 
61.128.195.0,61.128.195.15,isp,CN,AS4134 
61.128.195.16,61.128.195.47,business,CN,AS4134 
61.128.195.48,61.128.195.55,isp,CN,AS4134 
61.128.195.56,61.128.195.63,business,CN,AS4134 
61.128.195.64,61.128.195.79,isp,CN,AS4134 
61.128.195.80,61.128.195.95,business,CN,AS4134 
61.128.195.96,61.128.195.191,isp,CN,AS4134 
61.128.195.192,61.128.195.207,business,CN,AS4134 
61.128.195.208,61.128.195.215,isp,CN,AS4134 
61.128.195.216,61.128.195.223,business,CN,AS4134 
61.128.195.224,61.128.195.255,isp,CN,AS4134 
61.128.196.0,61.128.196.255,business,CN,AS4134 
61.128.197.0,61.128.197.15,isp,CN,AS4134 
61.128.197.16,61.128.197.16,business,CN,AS4134 
61.128.197.17,61.128.197.19,isp,CN,AS4134 
61.128.197.20,61.128.197.31,business,CN,AS4134 
61.128.197.32,61.128.197.39,isp,CN,AS4134 
61.128.197.40,61.128.197.47,business,CN,AS4134 
61.128.197.48,61.128.197.79,isp,CN,AS4134 
61.128.197.80,61.128.197.87,business,CN,AS4134 
61.128.197.88,61.128.197.91,isp,CN,AS4134 
61.128.197.92,61.128.197.127,business,CN,AS4134 
61.128.197.128,61.128.197.135,isp,CN,AS4134 
61.128.197.136,61.128.197.143,business,CN,AS4134 
61.128.197.144,61.128.197.147,isp,CN,AS4134 
61.128.197.148,61.128.197.151,business,CN,AS4134 
61.128.197.152,61.128.197.199,isp,CN,AS4134 
61.128.197.200,61.128.197.239,business,CN,AS4134 
61.128.197.240,61.128.197.255,isp,CN,AS4134 
61.128.198.0,61.128.208.3,business,CN,AS4134 
61.128.208.4,61.128.208.43,isp,CN,AS4134 
61.128.208.44,61.128.208.55,business,CN,AS4134 
61.128.208.56,61.128.208.87,isp,CN,AS4134 
61.128.208.88,61.128.208.91,business,CN,AS4134 
61.128.208.92,61.128.208.95,isp,CN,AS4134 
61.128.208.96,61.128.208.179,business,CN,AS4134 
61.128.208.180,61.128.208.183,isp,CN,AS4134 
61.128.208.184,61.128.208.199,business,CN,AS4134 
61.128.208.200,61.128.209.7,isp,CN,AS4134 
61.128.209.8,61.128.211.151,business,CN,AS4134 
61.128.211.152,61.128.211.160,isp,CN,AS4134 
61.128.211.161,61.128.211.210,business,CN,AS4134 
61.128.211.211,61.128.211.211,isp,CN,AS4134 
61.128.211.212,61.128.214.176,business,CN,AS4134 
61.128.214.177,61.128.214.177,isp,CN,AS4134 
61.128.214.178,61.128.219.76,business,CN,AS4134 
61.128.219.77,61.128.219.77,isp,CN,AS4134 
61.128.219.78,61.128.219.133,business,CN,AS4134 
61.128.219.134,61.128.219.134,isp,CN,AS4134 
61.128.219.135,61.128.219.136,business,CN,AS4134 
61.128.219.137,61.128.219.137,isp,CN,AS4134 
61.128.219.138,61.128.219.142,business,CN,AS4134 
61.128.219.143,61.128.219.143,isp,CN,AS4134 
61.128.219.144,61.128.219.146,business,CN,AS4134 
61.128.219.147,61.128.219.147,isp,CN,AS4134 
61.128.219.148,61.128.219.149,business,CN,AS4134 
61.128.219.150,61.128.219.150,isp,CN,AS4134 
61.128.219.151,61.128.219.152,business,CN,AS4134 
61.128.219.153,61.128.219.153,isp,CN,AS4134 
61.128.219.154,61.128.219.161,business,CN,AS4134 
61.128.219.162,61.128.219.167,isp,CN,AS4134 
61.128.219.168,61.128.219.174,business,CN,AS4134 
61.128.219.175,61.128.219.175,isp,CN,AS4134 
61.128.219.176,61.128.219.179,business,CN,AS4134 
61.128.219.180,61.128.219.180,isp,CN,AS4134 
61.128.219.181,61.128.219.181,business,CN,AS4134 
61.128.219.182,61.128.219.183,isp,CN,AS4134 
61.128.219.184,61.128.219.185,business,CN,AS4134 
61.128.219.186,61.128.219.186,isp,CN,AS4134 
61.128.219.187,61.128.219.191,business,CN,AS4134 
61.128.219.192,61.128.219.193,isp,CN,AS4134 
61.128.219.194,61.128.219.200,business,CN,AS4134 
61.128.219.201,61.128.219.201,isp,CN,AS4134 
61.128.219.202,61.128.219.209,business,CN,AS4134 
61.128.219.210,61.128.219.210,isp,CN,AS4134 
61.128.219.211,61.128.219.215,business,CN,AS4134 
61.128.219.216,61.128.219.217,isp,CN,AS4134 
61.128.219.218,61.128.219.222,business,CN,AS4134 
61.128.219.223,61.128.219.223,isp,CN,AS4134 
61.128.219.224,61.128.219.224,business,CN,AS4134 
61.128.219.225,61.128.219.225,isp,CN,AS4134 
61.128.219.226,61.128.219.232,business,CN,AS4134 
61.128.219.233,61.128.219.235,isp,CN,AS4134 
61.128.219.236,61.128.219.239,business,CN,AS4134 
61.128.219.240,61.128.219.240,isp,CN,AS4134 
61.128.219.241,61.128.219.244,business,CN,AS4134 
61.128.219.245,61.128.219.245,isp,CN,AS4134 
61.128.219.246,61.128.222.66,business,CN,AS4134 
61.128.222.67,61.128.222.78,isp,CN,AS4134 
61.128.222.79,61.128.222.79,business,CN,AS4134 
61.128.222.80,61.128.222.82,isp,CN,AS4134 
61.128.222.83,61.128.222.83,business,CN,AS4134 
61.128.222.84,61.128.222.90,isp,CN,AS4134 
61.128.222.91,61.128.222.92,business,CN,AS4134 
61.128.222.93,61.128.222.94,isp,CN,AS4134 
61.128.222.95,61.128.222.128,business,CN,AS4134 
61.128.222.129,61.128.222.134,isp,CN,AS4134 
61.128.222.135,61.128.225.7,business,CN,AS4134 
61.128.225.8,61.128.225.8,isp,CN,AS4134 
61.128.225.9,61.128.225.12,business,CN,AS4134 
61.128.225.13,61.128.225.13,isp,CN,AS4134 
61.128.225.14,61.128.225.48,business,CN,AS4134 
61.128.225.49,61.128.225.49,isp,CN,AS4134 
61.128.225.50,61.128.225.68,business,CN,AS4134 
61.128.225.69,61.128.225.76,isp,CN,AS4134 
61.128.225.77,61.128.225.79,business,CN,AS4134 
61.128.225.80,61.128.225.83,isp,CN,AS4134 
61.128.225.84,61.128.225.84,business,CN,AS4134 
61.128.225.85,61.128.225.88,isp,CN,AS4134 
61.128.225.89,61.128.225.89,business,CN,AS4134 
61.128.225.90,61.128.225.93,isp,CN,AS4134 
61.128.225.94,61.128.225.95,business,CN,AS4134 
61.128.225.96,61.128.225.96,isp,CN,AS4134 
61.128.225.97,61.128.225.97,business,CN,AS4134 
61.128.225.98,61.128.225.102,isp,CN,AS4134 
61.128.225.103,61.128.225.103,business,CN,AS4134 
61.128.225.104,61.128.225.104,education,CN,AS4134 
61.128.225.105,61.128.225.108,business,CN,AS4134 
61.128.225.109,61.128.225.110,isp,CN,AS4134 
61.128.225.111,61.128.225.111,business,CN,AS4134 
61.128.225.112,61.128.225.112,isp,CN,AS4134 
61.128.225.113,61.128.225.113,business,CN,AS4134 
61.128.225.114,61.128.225.114,isp,CN,AS4134 
61.128.225.115,61.128.225.115,business,CN,AS4134 
61.128.225.116,61.128.225.117,isp,CN,AS4134 
61.128.225.118,61.128.225.119,business,CN,AS4134 
61.128.225.120,61.128.225.121,isp,CN,AS4134 
61.128.225.122,61.128.225.122,business,CN,AS4134 
61.128.225.123,61.128.225.125,isp,CN,AS4134 
61.128.225.126,61.128.225.212,business,CN,AS4134 
61.128.225.213,61.128.225.213,isp,CN,AS4134 
61.128.225.214,61.128.225.245,business,CN,AS4134 
61.128.225.246,61.128.225.246,isp,CN,AS4134 
61.128.225.247,61.128.225.249,business,CN,AS4134 
61.128.225.250,61.128.225.250,isp,CN,AS4134 
61.128.225.251,61.128.225.255,business,CN,AS4134 
61.128.226.0,61.128.226.7,isp,CN,AS4134 
61.128.226.8,61.128.226.39,business,CN,AS4134 
61.128.226.40,61.128.226.47,isp,CN,AS4134 
61.128.226.48,61.128.226.79,business,CN,AS4134 
61.128.226.80,61.128.226.103,isp,CN,AS4134 
61.128.226.104,61.128.226.135,business,CN,AS4134 
61.128.226.136,61.128.226.143,isp,CN,AS4134 
61.128.226.144,61.128.226.151,business,CN,AS4134 
61.128.226.152,61.128.226.159,isp,CN,AS4134 
61.128.226.160,61.128.226.183,business,CN,AS4134 
61.128.226.184,61.128.226.187,isp,CN,AS4134 
61.128.226.188,61.128.226.191,business,CN,AS4134 
61.128.226.192,61.128.226.247,isp,CN,AS4134 
61.128.226.248,61.128.229.255,business,CN,AS4134 
61.128.230.0,61.128.230.23,isp,CN,AS4134 
61.128.230.24,61.128.230.35,business,CN,AS4134 
61.128.230.36,61.128.230.75,isp,CN,AS4134 
61.128.230.76,61.128.230.79,business,CN,AS4134 
61.128.230.80,61.128.230.111,isp,CN,AS4134 
61.128.230.112,61.128.247.0,business,CN,AS4134 
61.128.247.1,61.128.247.32,isp,CN,AS4134 
61.128.247.33,61.128.247.223,business,CN,AS4134 
61.128.247.224,61.128.247.254,isp,CN,AS4134 
61.128.247.255,61.128.249.255,business,CN,AS4134 
61.128.250.0,61.128.250.11,isp,CN,AS4134 
61.128.250.12,61.128.250.19,business,CN,AS4134 
61.128.250.20,61.128.250.27,isp,CN,AS4134 
61.128.250.28,61.128.250.42,business,CN,AS4134 
61.128.250.43,61.128.250.46,isp,CN,AS4134 
61.128.250.47,61.128.250.47,business,CN,AS4134 
61.128.250.48,61.128.250.59,isp,CN,AS4134 
61.128.250.60,61.128.250.67,business,CN,AS4134 
61.128.250.68,61.128.250.71,isp,CN,AS4134 
61.128.250.72,61.128.250.83,business,CN,AS4134 
61.128.250.84,61.128.250.95,isp,CN,AS4134 
61.128.250.96,61.128.250.99,business,CN,AS4134 
61.128.250.100,61.128.250.107,isp,CN,AS4134 
61.128.250.108,61.128.250.111,business,CN,AS4134 
61.128.250.112,61.128.250.119,isp,CN,AS4134 
61.128.250.120,61.128.250.127,business,CN,AS4134 
61.128.250.128,61.128.250.131,isp,CN,AS4134 
61.128.250.132,61.128.250.139,business,CN,AS4134 
61.128.250.140,61.128.250.143,isp,CN,AS4134 
61.128.250.144,61.128.250.159,business,CN,AS4134 
61.128.250.160,61.128.250.167,isp,CN,AS4134 
61.128.250.168,61.128.250.171,business,CN,AS4134 
61.128.250.172,61.128.250.175,isp,CN,AS4134 
61.128.250.176,61.128.250.187,business,CN,AS4134 
61.128.250.188,61.128.250.199,isp,CN,AS4134 
61.128.250.200,61.128.250.207,business,CN,AS4134 
61.128.250.208,61.128.250.211,isp,CN,AS4134 
61.128.250.212,61.128.250.215,business,CN,AS4134 
61.128.250.216,61.128.250.219,isp,CN,AS4134 
61.128.250.220,61.128.250.227,business,CN,AS4134 
61.128.250.228,61.128.250.235,isp,CN,AS4134 
61.128.250.236,61.128.250.239,business,CN,AS4134 
61.128.250.240,61.128.250.247,isp,CN,AS4134 
61.128.250.248,61.128.251.255,business,CN,AS4134 
61.128.252.0,61.128.252.255,isp,CN,AS4134 
61.128.253.0,61.128.253.255,business,CN,AS4134 
61.128.254.0,61.128.254.119,isp,CN,AS4134 
61.128.254.120,61.128.254.127,business,CN,AS4134 
61.128.254.128,61.128.254.135,isp,CN,AS4134 
61.128.254.136,61.128.254.159,business,CN,AS4134 
61.128.254.160,61.128.254.167,isp,CN,AS4134 
61.128.254.168,61.128.254.171,business,CN,AS4134 
61.128.254.172,61.128.254.179,isp,CN,AS4134 
61.128.254.180,61.128.254.183,business,CN,AS4134 
61.128.254.184,61.128.254.191,isp,CN,AS4134 
61.128.254.192,61.128.254.199,business,CN,AS4134 
61.128.254.200,61.128.254.247,isp,CN,AS4134 
61.128.254.248,61.128.254.251,business,CN,AS4134 
61.128.254.252,61.128.255.15,isp,CN,AS4134 
61.128.255.16,61.128.255.19,business,CN,AS4134 
61.128.255.20,61.128.255.87,isp,CN,AS4134 
61.128.255.88,61.128.255.119,business,CN,AS4134 
61.128.255.120,61.128.255.127,isp,CN,AS4134 
61.128.255.128,61.128.255.135,business,CN,AS4134 
61.128.255.136,61.128.255.159,isp,CN,AS4134 
61.128.255.160,61.128.255.175,business,CN,AS4134 
61.128.255.176,61.128.255.191,isp,CN,AS4134 
61.128.255.192,61.128.255.199,business,CN,AS4134 
61.128.255.200,61.128.255.215,isp,CN,AS4134 
61.128.255.216,61.128.255.219,business,CN,AS4134 
61.128.255.220,61.128.255.235,isp,CN,AS4134 
61.128.255.236,61.128.255.239,business,CN,AS4134 
61.128.255.240,61.128.255.247,isp,CN,AS4134 
61.128.255.248,61.128.255.255,business,CN,AS4134 
