61.196.0.0,61.196.96.39,isp,JP,AS4725 
61.196.161.56,61.196.161.71,business,JP,AS4725 
61.196.161.72,61.196.161.95,isp,JP,AS4725 
61.196.161.96,61.196.161.111,business,JP,AS4725 
61.196.161.112,61.196.161.143,isp,JP,AS4725 
61.196.161.144,61.196.161.151,business,JP,AS4725 
61.196.161.152,61.196.161.159,isp,JP,AS4725 
61.196.161.160,61.196.161.175,business,JP,AS4725 
61.196.161.176,61.196.161.207,isp,JP,AS4725 
61.196.161.208,61.196.161.215,business,JP,AS4725 
61.196.161.216,61.196.161.223,isp,JP,AS4725 
61.196.161.224,61.196.162.255,business,JP,AS4725 
61.196.163.0,61.196.163.127,isp,JP,AS4725 
61.196.163.128,61.196.163.143,business,JP,AS4725 
61.196.163.144,61.196.163.191,isp,JP,AS4725 
61.196.163.192,61.196.163.223,business,JP,AS4725 
61.196.163.224,61.196.164.255,isp,JP,AS4725 
61.196.165.0,61.196.165.7,business,JP,AS4725 
61.196.165.8,61.196.167.103,isp,JP,AS4725 
61.196.167.104,61.196.167.111,business,JP,AS4725 
61.196.167.112,61.196.168.127,isp,JP,AS4725 
61.196.168.128,61.196.168.143,business,JP,AS4725 
61.196.168.144,61.196.168.191,isp,JP,AS4725 
61.196.168.192,61.196.168.199,business,JP,AS4725 
61.196.168.200,61.196.168.223,isp,JP,AS4725 
61.196.168.224,61.196.168.231,business,JP,AS4725 
61.196.168.232,61.196.168.255,isp,JP,AS4725 
61.196.169.0,61.196.169.7,business,JP,AS4725 
61.196.169.8,61.196.169.63,isp,JP,AS4725 
61.196.169.64,61.196.169.95,business,JP,AS4725 
61.196.169.96,61.196.169.191,isp,JP,AS4725 
61.196.169.192,61.196.169.207,business,JP,AS4725 
61.196.169.208,61.196.173.47,isp,JP,AS4725 
61.196.173.48,61.196.173.55,business,JP,AS4725 
61.196.173.56,61.196.173.63,isp,JP,AS4725 
61.196.173.64,61.196.173.71,business,JP,AS4725 
61.196.173.72,61.196.173.79,isp,JP,AS4725 
61.196.173.80,61.196.173.95,business,JP,AS4725 
61.196.173.96,61.196.173.111,isp,JP,AS4725 
61.196.173.112,61.196.173.119,business,JP,AS4725 
61.196.173.120,61.196.173.159,isp,JP,AS4725 
61.196.173.160,61.196.173.167,business,JP,AS4725 
61.196.173.168,61.196.174.15,isp,JP,AS4725 
61.196.174.16,61.196.174.23,business,JP,AS4725 
61.196.174.24,61.196.174.87,isp,JP,AS4725 
61.196.174.88,61.196.174.95,business,JP,AS4725 
61.196.174.96,61.196.174.215,isp,JP,AS4725 
61.196.174.216,61.196.174.231,business,JP,AS4725 
61.196.174.232,61.196.175.143,isp,JP,AS4725 
61.196.175.144,61.196.175.151,business,JP,AS4725 
61.196.175.152,61.196.175.223,isp,JP,AS4725 
61.196.175.224,61.196.175.231,business,JP,AS4725 
61.196.175.232,61.196.175.247,isp,JP,AS4725 
61.196.175.248,61.196.177.255,business,JP,AS4725 
61.196.178.0,61.196.178.127,isp,JP,AS4725 
61.196.178.128,61.196.178.143,business,JP,AS4725 
61.196.178.144,61.196.178.175,isp,JP,AS4725 
61.196.178.176,61.196.178.183,business,JP,AS4725 
61.196.178.184,61.196.178.215,isp,JP,AS4725 
61.196.178.216,61.196.178.255,business,JP,AS4725 
61.196.179.0,61.196.179.47,isp,JP,AS4725 
61.196.179.48,61.196.179.63,business,JP,AS4725 
61.196.179.64,61.196.179.159,isp,JP,AS4725 
61.196.179.160,61.196.179.175,business,JP,AS4725 
61.196.179.176,61.196.179.223,isp,JP,AS4725 
61.196.179.224,61.196.179.255,business,JP,AS4725 
61.196.180.0,61.196.182.119,isp,JP,AS4725 
61.196.182.120,61.196.182.127,business,JP,AS4725 
61.196.182.128,61.196.183.31,isp,JP,AS4725 
61.196.183.32,61.196.183.63,business,JP,AS4725 
61.196.183.64,61.196.183.255,isp,JP,AS4725 
61.196.184.0,61.196.184.31,business,JP,AS4725 
61.196.184.32,61.196.184.63,isp,JP,AS4725 
61.196.184.64,61.196.184.71,business,JP,AS4725 
61.196.184.72,61.196.184.127,isp,JP,AS4725 
61.196.184.128,61.196.184.143,business,JP,AS4725 
61.196.184.144,61.196.184.255,isp,JP,AS4725 
61.196.185.0,61.196.185.63,business,JP,AS4725 
61.196.185.64,61.196.185.119,isp,JP,AS4725 
61.196.185.120,61.196.185.135,business,JP,AS4725 
61.196.185.136,61.196.185.143,isp,JP,AS4725 
61.196.185.144,61.196.185.159,business,JP,AS4725 
61.196.185.160,61.196.185.167,isp,JP,AS4725 
61.196.185.168,61.196.185.191,business,JP,AS4725 
61.196.185.192,61.196.185.199,isp,JP,AS4725 
61.196.185.200,61.196.185.239,business,JP,AS4725 
61.196.185.240,61.196.186.111,isp,JP,AS4725 
61.196.186.112,61.196.186.119,business,JP,AS4725 
61.196.186.120,61.196.186.127,isp,JP,AS4725 
61.196.186.128,61.196.186.135,business,JP,AS4725 
61.196.186.136,61.196.186.151,isp,JP,AS4725 
61.196.186.152,61.196.186.159,business,JP,AS4725 
61.196.186.160,61.196.186.167,isp,JP,AS4725 
61.196.186.168,61.196.186.175,business,JP,AS4725 
61.196.186.176,61.196.186.191,isp,JP,AS4725 
61.196.186.192,61.196.186.199,business,JP,AS4725 
61.196.186.200,61.196.186.207,isp,JP,AS4725 
61.196.186.208,61.196.186.223,business,JP,AS4725 
61.196.186.224,61.196.186.239,isp,JP,AS4725 
61.196.186.240,61.196.186.255,business,JP,AS4725 
61.196.187.0,61.196.187.31,isp,JP,AS4725 
61.196.187.32,61.196.187.79,business,JP,AS4725 
61.196.187.80,61.196.187.135,isp,JP,AS4725 
61.196.187.136,61.196.187.143,business,JP,AS4725 
61.196.187.144,61.196.187.151,isp,JP,AS4725 
61.196.187.152,61.196.187.159,business,JP,AS4725 
61.196.187.160,61.196.187.191,isp,JP,AS4725 
61.196.187.192,61.196.187.199,business,JP,AS4725 
61.196.187.200,61.196.187.223,isp,JP,AS4725 
61.196.187.224,61.196.187.231,business,JP,AS4725 
61.196.187.232,61.196.188.7,isp,JP,AS4725 
61.196.188.8,61.196.188.15,business,JP,AS4725 
61.196.188.16,61.196.188.47,isp,JP,AS4725 
61.196.188.48,61.196.188.71,business,JP,AS4725 
61.196.188.72,61.196.188.87,isp,JP,AS4725 
61.196.188.88,61.196.188.95,business,JP,AS4725 
61.196.188.96,61.196.188.159,isp,JP,AS4725 
61.196.188.160,61.196.188.167,business,JP,AS4725 
61.196.188.168,61.196.188.223,isp,JP,AS4725 
61.196.188.224,61.196.188.231,business,JP,AS4725 
61.196.188.232,61.196.188.239,isp,JP,AS4725 
61.196.188.240,61.196.188.247,business,JP,AS4725 
61.196.188.248,61.196.189.71,isp,JP,AS4725 
61.196.189.72,61.196.189.79,business,JP,AS4725 
61.196.189.80,61.196.189.95,isp,JP,AS4725 
61.196.189.96,61.196.189.111,business,JP,AS4725 
61.196.189.112,61.196.189.175,isp,JP,AS4725 
61.196.189.176,61.196.189.183,business,JP,AS4725 
61.196.189.184,61.196.189.223,isp,JP,AS4725 
61.196.189.224,61.196.189.239,business,JP,AS4725 
61.196.189.240,61.196.190.15,isp,JP,AS4725 
61.196.190.16,61.196.190.23,business,JP,AS4725 
61.196.190.24,61.196.190.47,isp,JP,AS4725 
61.196.190.48,61.196.190.55,business,JP,AS4725 
61.196.190.56,61.196.190.63,isp,JP,AS4725 
61.196.190.64,61.196.190.79,business,JP,AS4725 
61.196.190.80,61.196.190.167,isp,JP,AS4725 
61.196.190.168,61.196.190.175,business,JP,AS4725 
61.196.190.176,61.196.190.223,isp,JP,AS4725 
61.196.190.224,61.196.190.239,business,JP,AS4725 
61.196.190.240,61.196.191.23,isp,JP,AS4725 
61.196.191.24,61.196.191.31,business,JP,AS4725 
61.196.191.32,61.196.191.119,isp,JP,AS4725 
61.196.191.120,61.196.191.127,business,JP,AS4725 
61.196.191.128,61.196.191.199,isp,JP,AS4725 
61.196.191.200,61.196.191.207,business,JP,AS4725 
61.196.191.208,61.196.191.255,isp,JP,AS4725 
61.196.192.0,61.196.195.255,business,JP,AS4725 
61.196.196.0,61.196.196.7,isp,JP,AS4725 
61.196.196.8,61.196.196.15,business,JP,AS4725 
61.196.196.16,61.196.198.143,isp,JP,AS4725 
61.196.198.144,61.196.198.151,business,JP,AS4725 
61.196.198.152,61.196.198.167,isp,JP,AS4725 
61.196.198.168,61.196.198.175,business,JP,AS4725 
61.196.198.176,61.196.199.151,isp,JP,AS4725 
61.196.199.152,61.196.199.159,education,JP,AS4725 
61.196.199.160,61.196.199.175,business,JP,AS4725 
61.196.199.176,61.196.205.31,isp,JP,AS4725 
61.196.205.32,61.196.205.39,business,JP,AS4725 
61.196.205.40,61.196.205.79,isp,JP,AS4725 
61.196.205.80,61.196.205.87,business,JP,AS4725 
61.196.205.88,61.196.205.119,isp,JP,AS4725 
61.196.205.120,61.196.205.127,business,JP,AS4725 
61.196.205.128,61.196.205.151,isp,JP,AS4725 
61.196.205.152,61.196.205.159,business,JP,AS4725 
61.196.205.160,61.196.205.183,isp,JP,AS4725 
61.196.205.184,61.196.205.191,business,JP,AS4725 
61.196.205.192,61.196.205.207,isp,JP,AS4725 
61.196.205.208,61.196.205.215,business,JP,AS4725 
61.196.205.216,61.196.206.7,isp,JP,AS4725 
61.196.206.8,61.196.206.23,business,JP,AS4725 
61.196.206.24,61.196.206.31,isp,JP,AS4725 
61.196.206.32,61.196.206.39,business,JP,AS4725 
61.196.206.40,61.196.206.63,isp,JP,AS4725 
61.196.206.64,61.196.206.71,business,JP,AS4725 
61.196.206.72,61.196.206.175,isp,JP,AS4725 
61.196.206.176,61.196.206.207,business,JP,AS4725 
61.196.206.208,61.196.210.223,isp,JP,AS4725 
61.196.210.224,61.196.210.231,business,JP,AS4725 
61.196.210.232,61.196.212.239,isp,JP,AS4725 
61.196.212.240,61.196.212.247,business,JP,AS4725 
61.196.212.248,61.196.214.255,isp,JP,AS4725 
61.196.215.0,61.196.215.7,business,JP,AS4725 
61.196.215.8,61.196.220.127,isp,JP,AS4725 
61.196.220.128,61.196.220.135,business,JP,AS4725 
61.196.220.136,61.196.221.31,isp,JP,AS4725 
61.196.221.32,61.196.221.39,business,JP,AS4725 
61.196.221.40,61.196.223.255,isp,JP,AS4725 
61.196.224.0,61.196.224.23,business,JP,AS4725 
61.196.224.24,61.196.224.103,isp,JP,AS4725 
61.196.224.104,61.196.224.111,business,JP,AS4725 
61.196.224.112,61.196.228.255,isp,JP,AS4725 
61.196.229.0,61.196.229.7,business,JP,AS4725 
61.196.229.8,61.196.229.231,isp,JP,AS4725 
61.196.229.232,61.196.229.239,business,JP,AS4725 
61.196.229.240,61.196.230.71,isp,JP,AS4725 
61.196.230.72,61.196.230.79,business,JP,AS4725 
61.196.230.80,61.196.230.183,isp,JP,AS4725 
61.196.230.184,61.196.230.191,business,JP,AS4725 
61.196.230.192,61.196.231.23,isp,JP,AS4725 
61.196.231.24,61.196.231.31,business,JP,AS4725 
61.196.231.32,61.196.231.95,isp,JP,AS4725 
61.196.231.96,61.196.231.103,business,JP,AS4725 
61.196.231.104,61.196.231.111,isp,JP,AS4725 
61.196.231.112,61.196.231.119,business,JP,AS4725 
61.196.231.120,61.196.233.87,isp,JP,AS4725 
61.196.233.88,61.196.233.95,business,JP,AS4725 
61.196.233.96,61.196.234.47,isp,JP,AS4725 
61.196.234.48,61.196.234.63,business,JP,AS4725 
61.196.234.64,61.196.234.143,isp,JP,AS4725 
61.196.234.144,61.196.234.159,business,JP,AS4725 
61.196.234.160,61.196.235.183,isp,JP,AS4725 
61.196.235.184,61.196.235.191,business,JP,AS4725 
61.196.235.192,61.196.236.63,isp,JP,AS4725 
61.196.236.64,61.196.236.71,business,JP,AS4725 
61.196.236.72,61.196.237.167,isp,JP,AS4725 
61.196.237.168,61.196.237.175,education,JP,AS4725 
61.196.237.176,61.196.243.247,isp,JP,AS4725 
61.196.243.248,61.196.243.255,business,JP,AS4725 
61.196.244.0,61.196.247.167,isp,JP,AS4725 
61.196.247.168,61.196.247.175,business,JP,AS4725 
61.196.247.176,61.196.252.23,isp,JP,AS4725 
61.196.252.24,61.196.252.31,business,JP,AS4725 
61.196.252.32,61.196.255.143,isp,JP,AS4725 
61.196.255.144,61.196.255.159,business,JP,AS4725 
61.196.255.160,61.196.255.255,isp,JP,AS4725 
