61.172.0.56,61.172.0.60,business,CN,AS4812 
61.172.244.129,61.172.244.130,business,CN,AS4812 
61.172.244.131,61.172.244.131,isp,CN,AS4812 
61.172.244.132,61.172.244.142,business,CN,AS4812 
61.172.244.143,61.172.244.145,isp,CN,AS4812 
61.172.244.146,61.172.244.146,business,CN,AS4812 
61.172.244.147,61.172.244.148,isp,CN,AS4812 
61.172.244.149,61.172.244.169,business,CN,AS4812 
61.172.244.170,61.172.244.173,isp,CN,AS4812 
61.172.244.174,61.172.244.176,business,CN,AS4812 
61.172.244.177,61.172.244.195,isp,CN,AS4812 
61.172.244.196,61.172.244.196,business,CN,AS4812 
61.172.244.197,61.172.244.229,isp,CN,AS4812 
61.172.244.230,61.172.244.231,business,CN,AS4812 
61.172.244.232,61.172.244.232,isp,CN,AS4812 
61.172.244.233,61.172.244.234,business,CN,AS4812 
61.172.244.235,61.172.244.242,isp,CN,AS4812 
61.172.244.243,61.172.244.244,business,CN,AS4812 
61.172.244.245,61.172.244.250,isp,CN,AS4812 
61.172.244.251,61.172.244.251,business,CN,AS4812 
61.172.244.252,61.172.244.255,isp,CN,AS4812 
61.172.245.0,61.172.245.14,business,CN,AS4812 
61.172.245.15,61.172.245.15,isp,CN,AS4812 
61.172.245.16,61.172.245.127,business,CN,AS4812 
61.172.245.128,61.172.245.193,isp,CN,AS4812 
61.172.245.194,61.172.245.213,business,CN,AS4812 
61.172.245.214,61.172.246.14,isp,CN,AS4812 
61.172.246.15,61.172.246.30,business,CN,AS4812 
61.172.246.31,61.172.246.48,isp,CN,AS4812 
61.172.246.49,61.172.246.62,business,CN,AS4812 
61.172.246.63,61.172.246.65,isp,CN,AS4812 
61.172.246.66,61.172.246.77,business,CN,AS4812 
61.172.246.78,61.172.246.83,isp,CN,AS4812 
61.172.246.84,61.172.246.85,business,CN,AS4812 
61.172.246.86,61.172.246.90,isp,CN,AS4812 
61.172.246.91,61.172.246.93,business,CN,AS4812 
61.172.246.94,61.172.246.107,isp,CN,AS4812 
61.172.246.108,61.172.246.108,business,CN,AS4812 
61.172.246.109,61.172.246.143,isp,CN,AS4812 
61.172.246.144,61.172.246.144,business,CN,AS4812 
61.172.246.145,61.172.246.182,isp,CN,AS4812 
61.172.246.183,61.172.246.183,business,CN,AS4812 
61.172.246.184,61.172.246.186,isp,CN,AS4812 
61.172.246.187,61.172.246.190,business,CN,AS4812 
61.172.246.191,61.172.246.223,isp,CN,AS4812 
61.172.246.224,61.172.247.255,business,CN,AS4812 
61.172.248.0,61.172.249.4,isp,CN,AS4812 
61.172.249.5,61.172.249.5,business,CN,AS4812 
61.172.249.6,61.172.249.6,education,CN,AS4812 
61.172.249.7,61.172.249.9,isp,CN,AS4812 
61.172.249.10,61.172.249.20,business,CN,AS4812 
61.172.249.21,61.172.249.26,isp,CN,AS4812 
61.172.249.27,61.172.249.31,business,CN,AS4812 
61.172.249.32,61.172.249.33,isp,CN,AS4812 
61.172.249.34,61.172.249.39,business,CN,AS4812 
61.172.249.40,61.172.249.44,isp,CN,AS4812 
61.172.249.45,61.172.249.45,business,CN,AS4812 
61.172.249.46,61.172.249.48,isp,CN,AS4812 
61.172.249.49,61.172.249.51,business,CN,AS4812 
61.172.249.52,61.172.249.53,isp,CN,AS4812 
61.172.249.54,61.172.249.54,business,CN,AS4812 
61.172.249.55,61.172.249.55,isp,CN,AS4812 
61.172.249.56,61.172.249.56,business,CN,AS4812 
61.172.249.57,61.172.249.65,isp,CN,AS4812 
61.172.249.66,61.172.249.77,education,CN,AS4812 
61.172.249.78,61.172.249.87,business,CN,AS4812 
61.172.249.88,61.172.249.88,isp,CN,AS4812 
61.172.249.89,61.172.249.90,business,CN,AS4812 
61.172.249.91,61.172.249.91,isp,CN,AS4812 
61.172.249.92,61.172.249.92,business,CN,AS4812 
61.172.249.93,61.172.249.93,isp,CN,AS4812 
61.172.249.94,61.172.249.102,business,CN,AS4812 
61.172.249.103,61.172.249.107,isp,CN,AS4812 
61.172.249.108,61.172.249.108,business,CN,AS4812 
61.172.249.109,61.172.249.110,isp,CN,AS4812 
61.172.249.111,61.172.249.115,business,CN,AS4812 
61.172.249.116,61.172.249.121,isp,CN,AS4812 
61.172.249.122,61.172.249.122,business,CN,AS4812 
61.172.249.123,61.172.249.123,isp,CN,AS4812 
61.172.249.124,61.172.249.124,business,CN,AS4812 
61.172.249.125,61.172.249.127,isp,CN,AS4812 
61.172.249.128,61.172.249.159,business,CN,AS4812 
61.172.249.160,61.172.249.182,isp,CN,AS4812 
61.172.249.183,61.172.249.190,business,CN,AS4812 
61.172.249.191,61.172.249.193,isp,CN,AS4812 
61.172.249.194,61.172.249.212,business,CN,AS4812 
61.172.249.213,61.172.249.219,isp,CN,AS4812 
61.172.249.220,61.172.249.222,business,CN,AS4812 
61.172.249.223,61.172.249.223,isp,CN,AS4812 
61.172.249.224,61.172.249.255,business,CN,AS4812 
61.172.250.0,61.172.250.74,isp,CN,AS4812 
61.172.250.75,61.172.250.75,business,CN,AS4812 
61.172.250.76,61.172.250.111,isp,CN,AS4812 
61.172.250.112,61.172.250.127,business,CN,AS4812 
61.172.250.128,61.172.250.195,isp,CN,AS4812 
61.172.250.196,61.172.250.201,business,CN,AS4812 
61.172.250.202,61.172.250.207,isp,CN,AS4812 
61.172.250.208,61.172.250.208,business,CN,AS4812 
61.172.250.209,61.172.250.255,isp,CN,AS4812 
61.172.251.0,61.172.252.127,business,CN,AS4812 
61.172.252.128,61.172.252.255,isp,CN,AS4812 
61.172.253.0,61.172.253.71,business,CN,AS4812 
61.172.253.72,61.172.253.103,isp,CN,AS4812 
61.172.253.104,61.172.253.127,business,CN,AS4812 
61.172.253.128,61.172.253.223,isp,CN,AS4812 
61.172.253.224,61.172.255.220,business,CN,AS4812 
61.172.255.221,61.172.255.250,isp,CN,AS4812 
61.172.255.251,61.172.255.254,business,CN,AS4812 
61.172.255.255,61.173.255.255,isp,CN,AS4812 
