200.114.0.0,200.114.63.255,isp,CO,AS13489 
200.114.115.240,200.114.115.255,business,GT,AS28087 
200.114.116.0,200.114.116.7,isp,GT,AS28087 
200.114.116.8,200.114.116.47,business,GT,AS28087 
200.114.116.48,200.114.116.83,isp,GT,AS28087 
200.114.116.84,200.114.116.99,business,GT,AS28087 
200.114.116.100,200.114.116.103,education,GT,AS28087 
200.114.116.104,200.114.116.167,business,GT,AS28087 
200.114.116.168,200.114.116.183,isp,GT,AS28087 
200.114.116.184,200.114.116.187,business,GT,AS28087 
200.114.116.188,200.114.116.191,isp,GT,AS28087 
200.114.116.192,200.114.116.199,business,GT,AS28087 
200.114.116.200,200.114.116.207,isp,GT,AS28087 
200.114.116.208,200.114.116.219,business,GT,AS28087 
200.114.116.220,200.114.116.223,isp,GT,AS28087 
200.114.116.224,200.114.116.239,business,GT,AS28087 
200.114.116.240,200.114.116.251,isp,GT,AS28087 
200.114.116.252,200.114.116.255,business,GT,AS28087 
200.114.117.0,200.114.117.7,isp,GT,AS28087 
200.114.117.8,200.114.117.71,business,GT,AS28087 
200.114.117.72,200.114.117.75,isp,GT,AS28087 
200.114.117.76,200.114.117.91,business,GT,AS28087 
200.114.117.92,200.114.117.103,isp,GT,AS28087 
200.114.117.104,200.114.117.123,business,GT,AS28087 
200.114.117.124,200.114.117.127,isp,GT,AS28087 
200.114.117.128,200.114.117.143,business,GT,AS28087 
200.114.117.144,200.114.117.163,isp,GT,AS28087 
200.114.117.164,200.114.117.207,business,GT,AS28087 
200.114.117.208,200.114.117.223,isp,GT,AS28087 
200.114.117.224,200.114.117.235,business,GT,AS28087 
200.114.117.236,200.114.117.239,isp,GT,AS28087 
200.114.117.240,200.114.117.247,education,GT,AS28087 
200.114.117.248,200.114.117.255,business,GT,AS28087 
200.114.118.0,200.114.118.7,isp,GT,AS28087 
200.114.118.8,200.114.118.23,business,GT,AS28087 
200.114.118.24,200.114.118.31,isp,GT,AS28087 
200.114.118.32,200.114.118.47,business,GT,AS28087 
200.114.118.48,200.114.118.51,isp,GT,AS28087 
200.114.118.52,200.114.118.159,business,GT,AS28087 
200.114.118.160,200.114.118.163,education,GT,AS28087 
200.114.118.164,200.114.118.191,isp,GT,AS28087 
200.114.118.192,200.114.118.223,business,GT,AS28087 
200.114.118.224,200.114.118.231,isp,GT,AS28087 
200.114.118.232,200.114.118.255,business,GT,AS28087 
200.114.119.0,200.114.119.11,isp,GT,AS28087 
200.114.119.12,200.114.119.19,business,GT,AS28087 
200.114.119.20,200.114.119.23,education,GT,AS28087 
200.114.119.24,200.114.119.127,business,GT,AS28087 
200.114.119.128,200.114.119.135,isp,GT,AS28087 
200.114.119.136,200.114.119.167,business,GT,AS28087 
200.114.119.168,200.114.119.175,isp,GT,AS28087 
200.114.119.176,200.114.119.255,business,GT,AS28087 
200.114.120.0,200.114.127.255,isp,AR,AS28114 
200.114.128.0,200.114.255.255,isp,AR,AS7303 
