200.116.0.0,200.116.42.79,isp,CO,AS13489 
200.116.208.104,200.116.208.111,business,CO,AS13489 
200.116.208.112,200.116.208.151,isp,CO,AS13489 
200.116.208.152,200.116.208.159,business,CO,AS13489 
200.116.208.160,200.116.208.167,isp,CO,AS13489 
200.116.208.168,200.116.208.175,education,CO,AS13489 
200.116.208.176,200.116.209.23,isp,CO,AS13489 
200.116.209.24,200.116.209.31,business,CO,AS13489 
200.116.209.32,200.116.209.95,isp,CO,AS13489 
200.116.209.96,200.116.209.103,business,CO,AS13489 
200.116.209.104,200.116.209.191,isp,CO,AS13489 
200.116.209.192,200.116.209.199,business,CO,AS13489 
200.116.209.200,200.116.209.215,isp,CO,AS13489 
200.116.209.216,200.116.209.231,business,CO,AS13489 
200.116.209.232,200.116.209.247,isp,CO,AS13489 
200.116.209.248,200.116.209.255,business,CO,AS13489 
200.116.210.0,200.116.211.31,isp,CO,AS13489 
200.116.211.32,200.116.211.39,business,CO,AS13489 
200.116.211.40,200.116.211.111,isp,CO,AS13489 
200.116.211.112,200.116.211.119,business,CO,AS13489 
200.116.211.120,200.116.211.143,isp,CO,AS13489 
200.116.211.144,200.116.211.159,business,CO,AS13489 
200.116.211.160,200.116.211.167,isp,CO,AS13489 
200.116.211.168,200.116.211.183,business,CO,AS13489 
200.116.211.184,200.116.211.207,isp,CO,AS13489 
200.116.211.208,200.116.211.215,business,CO,AS13489 
200.116.211.216,200.116.212.55,isp,CO,AS13489 
200.116.212.56,200.116.212.63,business,CO,AS13489 
200.116.212.64,200.116.212.119,isp,CO,AS13489 
200.116.212.120,200.116.212.127,business,CO,AS13489 
200.116.212.128,200.116.212.151,isp,CO,AS13489 
200.116.212.152,200.116.212.159,business,CO,AS13489 
200.116.212.160,200.116.212.167,isp,CO,AS13489 
200.116.212.168,200.116.212.175,business,CO,AS13489 
200.116.212.176,200.116.212.191,isp,CO,AS13489 
200.116.212.192,200.116.212.199,business,CO,AS13489 
200.116.212.200,200.116.213.31,isp,CO,AS13489 
200.116.213.32,200.116.213.39,business,CO,AS13489 
200.116.213.40,200.116.213.119,isp,CO,AS13489 
200.116.213.120,200.116.213.127,business,CO,AS13489 
200.116.213.128,200.116.213.207,isp,CO,AS13489 
200.116.213.208,200.116.213.215,isp,CL,AS13489 
200.116.213.216,200.116.213.247,isp,CO,AS13489 
200.116.213.248,200.116.213.255,business,CO,AS13489 
200.116.214.0,200.116.214.47,isp,CO,AS13489 
200.116.214.48,200.116.214.55,business,CO,AS13489 
200.116.214.56,200.116.214.95,isp,CO,AS13489 
200.116.214.96,200.116.214.103,business,CO,AS13489 
200.116.214.104,200.116.214.127,isp,CO,AS13489 
200.116.214.128,200.116.214.135,business,AR,AS13489 
200.116.214.136,200.116.214.151,isp,CO,AS13489 
200.116.214.152,200.116.214.159,business,CO,AS13489 
200.116.214.160,200.116.214.167,isp,CO,AS13489 
200.116.214.168,200.116.214.191,business,CO,AS13489 
200.116.214.192,200.116.214.223,isp,CO,AS13489 
200.116.214.224,200.116.215.15,business,CO,AS13489 
200.116.215.16,200.116.215.23,isp,CO,AS13489 
200.116.215.24,200.116.215.39,business,CO,AS13489 
200.116.215.40,200.116.215.47,isp,CO,AS13489 
200.116.215.48,200.116.215.55,business,CO,AS13489 
200.116.215.56,200.116.215.63,isp,CO,AS13489 
200.116.215.64,200.116.215.127,business,CO,AS13489 
200.116.215.128,200.116.215.143,isp,CO,AS13489 
200.116.215.144,200.116.215.151,business,CO,AS13489 
200.116.215.152,200.116.215.159,isp,CO,AS13489 
200.116.215.160,200.116.215.167,business,CO,AS13489 
200.116.215.168,200.116.215.183,isp,CO,AS13489 
200.116.215.184,200.116.215.191,business,CL,AS13489 
200.116.215.192,200.116.215.199,isp,CO,AS13489 
200.116.215.200,200.116.215.207,business,CO,AS13489 
200.116.215.208,200.116.215.215,isp,CO,AS13489 
200.116.215.216,200.116.215.223,business,CO,AS13489 
200.116.215.224,200.116.215.255,isp,CO,AS13489 
200.116.216.0,200.116.216.7,business,CO,AS13489 
200.116.216.8,200.116.216.71,isp,CO,AS13489 
200.116.216.72,200.116.216.79,business,CO,AS13489 
200.116.216.80,200.116.216.127,isp,CO,AS13489 
200.116.216.128,200.116.216.135,business,CO,AS13489 
200.116.216.136,200.116.216.167,isp,CO,AS13489 
200.116.216.168,200.116.216.175,business,CL,AS13489 
200.116.216.176,200.116.216.199,isp,CO,AS13489 
200.116.216.200,200.116.216.207,isp,AR,AS13489 
200.116.216.208,200.116.216.239,business,CO,AS13489 
200.116.216.240,200.116.216.247,business,CU,AS13489 
200.116.216.248,200.116.217.7,isp,CO,AS13489 
200.116.217.8,200.116.217.15,business,CO,AS13489 
200.116.217.16,200.116.217.31,isp,CO,AS13489 
200.116.217.32,200.116.217.47,business,CO,AS13489 
200.116.217.48,200.116.217.55,isp,CO,AS13489 
200.116.217.56,200.116.217.95,business,CO,AS13489 
200.116.217.96,200.116.217.119,isp,CO,AS13489 
200.116.217.120,200.116.217.151,business,CO,AS13489 
200.116.217.152,200.116.217.159,isp,CO,AS13489 
200.116.217.160,200.116.217.199,business,CO,AS13489 
200.116.217.200,200.116.217.215,isp,CO,AS13489 
200.116.217.216,200.116.217.223,business,CO,AS13489 
200.116.217.224,200.116.217.231,isp,CO,AS13489 
200.116.217.232,200.116.218.15,business,CO,AS13489 
200.116.218.16,200.116.218.23,isp,CO,AS13489 
200.116.218.24,200.116.218.31,business,CO,AS13489 
200.116.218.32,200.116.218.63,isp,CO,AS13489 
200.116.218.64,200.116.218.71,business,CO,AS13489 
200.116.218.72,200.116.218.79,isp,CO,AS13489 
200.116.218.80,200.116.218.95,business,CO,AS13489 
200.116.218.96,200.116.218.111,isp,CO,AS13489 
200.116.218.112,200.116.218.159,business,CO,AS13489 
200.116.218.160,200.116.218.191,isp,CO,AS13489 
200.116.218.192,200.116.218.199,business,CO,AS13489 
200.116.218.200,200.116.218.223,isp,CO,AS13489 
200.116.218.224,200.116.218.239,business,CO,AS13489 
200.116.218.240,200.116.218.255,isp,CO,AS13489 
200.116.219.0,200.116.219.47,business,CO,AS13489 
200.116.219.48,200.116.219.63,isp,CO,AS13489 
200.116.219.64,200.116.219.79,business,CO,AS13489 
200.116.219.80,200.116.219.111,isp,CO,AS13489 
200.116.219.112,200.116.219.119,business,CO,AS13489 
200.116.219.120,200.116.219.127,isp,CO,AS13489 
200.116.219.128,200.116.219.151,business,CO,AS13489 
200.116.219.152,200.116.219.159,isp,CO,AS13489 
200.116.219.160,200.116.219.167,business,CO,AS13489 
200.116.219.168,200.116.219.223,isp,CO,AS13489 
200.116.219.224,200.116.219.231,business,CO,AS13489 
200.116.219.232,200.116.219.239,isp,CO,AS13489 
200.116.219.240,200.116.220.7,business,CO,AS13489 
200.116.220.8,200.116.220.23,isp,CO,AS13489 
200.116.220.24,200.116.220.47,business,CO,AS13489 
200.116.220.48,200.116.220.55,isp,CO,AS13489 
200.116.220.56,200.116.220.111,business,CO,AS13489 
200.116.220.112,200.116.220.159,isp,CO,AS13489 
200.116.220.160,200.116.220.167,business,CO,AS13489 
200.116.220.168,200.116.220.183,isp,CO,AS13489 
200.116.220.184,200.116.220.191,isp,CL,AS13489 
200.116.220.192,200.116.220.231,isp,CO,AS13489 
200.116.220.232,200.116.220.239,business,CO,AS13489 
200.116.220.240,200.116.220.247,isp,CO,AS13489 
200.116.220.248,200.116.220.255,isp,CL,AS13489 
200.116.221.0,200.116.221.103,isp,CO,AS13489 
200.116.221.104,200.116.221.111,business,CO,AS13489 
200.116.221.112,200.116.221.255,isp,CO,AS13489 
200.116.222.0,200.116.222.7,business,CO,AS13489 
200.116.222.8,200.116.222.255,isp,CO,AS13489 
200.116.223.0,200.116.223.3,business,CO,AS13489 
200.116.223.4,200.116.223.7,isp,CO,AS13489 
200.116.223.8,200.116.223.19,business,CO,AS13489 
200.116.223.20,200.116.223.23,isp,CO,AS13489 
200.116.223.24,200.116.223.31,business,CO,AS13489 
200.116.223.32,200.116.224.183,isp,CO,AS13489 
200.116.224.184,200.116.224.191,business,CO,AS13489 
200.116.224.192,200.116.224.215,isp,CO,AS13489 
200.116.224.216,200.116.224.223,business,CO,AS13489 
200.116.224.224,200.116.224.231,isp,CO,AS13489 
200.116.224.232,200.116.224.239,business,CO,AS13489 
200.116.224.240,200.116.226.31,isp,CO,AS13489 
200.116.226.32,200.116.226.39,education,CO,AS13489 
200.116.226.40,200.116.226.119,isp,CO,AS13489 
200.116.226.120,200.116.226.127,business,CO,AS13489 
200.116.226.128,200.116.226.151,isp,CO,AS13489 
200.116.226.152,200.116.226.159,business,CO,AS13489 
200.116.226.160,200.116.226.175,isp,CO,AS13489 
200.116.226.176,200.116.226.183,business,CO,AS13489 
200.116.226.184,200.116.226.231,isp,CO,AS13489 
200.116.226.232,200.116.226.239,business,CO,AS13489 
200.116.226.240,200.116.227.151,isp,CO,AS13489 
200.116.227.152,200.116.227.159,education,CO,AS13489 
200.116.227.160,200.116.227.199,isp,CO,AS13489 
200.116.227.200,200.116.227.207,business,CO,AS13489 
200.116.227.208,200.116.228.39,isp,CO,AS13489 
200.116.228.40,200.116.228.47,business,CO,AS13489 
200.116.228.48,200.116.228.55,isp,CO,AS13489 
200.116.228.56,200.116.228.63,business,CO,AS13489 
200.116.228.64,200.116.228.207,isp,CO,AS13489 
200.116.228.208,200.116.228.215,business,CO,AS13489 
200.116.228.216,200.116.229.63,isp,CO,AS13489 
200.116.229.64,200.116.229.71,business,CO,AS13489 
200.116.229.72,200.116.229.95,isp,CO,AS13489 
200.116.229.96,200.116.229.103,business,CO,AS13489 
200.116.229.104,200.116.229.199,isp,CO,AS13489 
200.116.229.200,200.116.229.215,education,CO,AS13489 
200.116.229.216,200.116.229.223,isp,CO,AS13489 
200.116.229.224,200.116.229.231,business,CO,AS13489 
200.116.229.232,200.116.229.255,isp,CO,AS13489 
200.116.230.0,200.116.230.7,business,CO,AS13489 
200.116.230.8,200.116.230.111,isp,CO,AS13489 
200.116.230.112,200.116.230.119,business,CO,AS13489 
200.116.230.120,200.116.230.127,isp,CO,AS13489 
200.116.230.128,200.116.230.135,education,CO,AS13489 
200.116.230.136,200.116.230.207,isp,CO,AS13489 
200.116.230.208,200.116.230.215,business,CO,AS13489 
200.116.230.216,200.116.231.7,isp,CO,AS13489 
200.116.231.8,200.116.231.15,business,CO,AS13489 
200.116.231.16,200.116.231.23,isp,CO,AS13489 
200.116.231.24,200.116.231.31,education,CO,AS13489 
200.116.231.32,200.116.231.55,isp,CO,AS13489 
200.116.231.56,200.116.231.63,business,CO,AS13489 
200.116.231.64,200.116.231.127,isp,CO,AS13489 
200.116.231.128,200.116.231.135,business,CO,AS13489 
200.116.231.136,200.116.231.215,isp,CO,AS13489 
200.116.231.216,200.116.231.223,education,CO,AS13489 
200.116.231.224,200.116.231.255,isp,CO,AS13489 
200.116.232.0,200.116.232.7,business,CO,AS13489 
200.116.232.8,200.116.232.71,isp,CO,AS13489 
200.116.232.72,200.116.232.79,business,CO,AS13489 
200.116.232.80,200.116.232.95,isp,CO,AS13489 
200.116.232.96,200.116.232.103,education,CO,AS13489 
200.116.232.104,200.116.232.111,isp,CO,AS13489 
200.116.232.112,200.116.232.119,education,CO,AS13489 
200.116.232.120,200.116.232.151,isp,CO,AS13489 
200.116.232.152,200.116.232.159,business,CO,AS13489 
200.116.232.160,200.116.233.23,isp,CO,AS13489 
200.116.233.24,200.116.233.31,business,CO,AS13489 
200.116.233.32,200.116.233.95,isp,CO,AS13489 
200.116.233.96,200.116.233.103,business,CO,AS13489 
200.116.233.104,200.116.233.111,isp,CO,AS13489 
200.116.233.112,200.116.233.119,business,CO,AS13489 
200.116.233.120,200.116.233.151,isp,CO,AS13489 
200.116.233.152,200.116.233.167,business,CO,AS13489 
200.116.233.168,200.116.233.191,isp,CO,AS13489 
200.116.233.192,200.116.233.199,education,CO,AS13489 
200.116.233.200,200.116.233.239,isp,CO,AS13489 
200.116.233.240,200.116.233.247,business,CO,AS13489 
200.116.233.248,200.116.234.23,isp,CO,AS13489 
200.116.234.24,200.116.234.31,education,CO,AS13489 
200.116.234.32,200.116.234.151,isp,CO,AS13489 
200.116.234.152,200.116.234.159,business,CO,AS13489 
200.116.234.160,200.116.235.79,isp,CO,AS13489 
200.116.235.80,200.116.235.87,business,CO,AS13489 
200.116.235.88,200.116.235.95,isp,CO,AS13489 
200.116.235.96,200.116.235.103,business,CO,AS13489 
200.116.235.104,200.116.235.111,education,CO,AS13489 
200.116.235.112,200.116.235.135,isp,CO,AS13489 
200.116.235.136,200.116.235.143,business,CO,AS13489 
200.116.235.144,200.116.235.151,education,CO,AS13489 
200.116.235.152,200.116.235.159,business,CO,AS13489 
200.116.235.160,200.116.235.215,isp,CO,AS13489 
200.116.235.216,200.116.235.223,business,CO,AS13489 
200.116.235.224,200.116.236.23,isp,CO,AS13489 
200.116.236.24,200.116.236.31,business,CO, 
200.116.236.32,200.116.236.95,isp,CO,AS13489 
200.116.236.96,200.116.236.111,business,CO,AS13489 
200.116.236.112,200.116.236.143,isp,CO,AS13489 
200.116.236.144,200.116.236.159,business,CO,AS13489 
200.116.236.160,200.116.236.199,isp,CO,AS13489 
200.116.236.200,200.116.236.207,education,CO,AS13489 
200.116.236.208,200.116.236.215,isp,VE,AS13489 
200.116.236.216,200.116.237.63,isp,CO,AS13489 
200.116.237.64,200.116.237.71,education,CO,AS13489 
200.116.237.72,200.116.237.183,isp,CO,AS13489 
200.116.237.184,200.116.237.191,education,CO,AS13489 
200.116.237.192,200.116.238.55,isp,CO,AS13489 
200.116.238.56,200.116.238.63,business,CO,AS13489 
200.116.238.64,200.116.238.79,isp,CO,AS13489 
200.116.238.80,200.116.238.87,business,CO,AS13489 
200.116.238.88,200.116.238.103,isp,CO,AS13489 
200.116.238.104,200.116.238.111,education,CO,AS13489 
200.116.238.112,200.116.238.143,isp,CO,AS13489 
200.116.238.144,200.116.238.159,business,CO,AS13489 
200.116.238.160,200.116.238.167,isp,CO,AS13489 
200.116.238.168,200.116.238.175,business,CO,AS13489 
200.116.238.176,200.116.238.239,isp,CO,AS13489 
200.116.238.240,200.116.238.247,education,CO,AS13489 
200.116.238.248,200.116.238.255,isp,CO,AS13489 
200.116.239.0,200.116.239.7,business,CO,AS13489 
200.116.239.8,200.116.239.47,isp,CO,AS13489 
200.116.239.48,200.116.239.55,business,CO,AS13489 
200.116.239.56,200.116.239.95,isp,CO,AS13489 
200.116.239.96,200.116.239.103,business,CO,AS13489 
200.116.239.104,200.116.239.111,isp,CO,AS13489 
200.116.239.112,200.116.239.119,business,CO,AS13489 
200.116.239.120,200.116.239.141,isp,CO,AS13489 
200.116.239.142,200.116.239.147,business,CO,AS13489 
200.116.239.148,200.116.239.167,isp,CO,AS13489 
200.116.239.168,200.116.239.175,business,CO,AS13489 
200.116.239.176,200.116.239.191,isp,CO,AS13489 
200.116.239.192,200.116.239.199,business,CO,AS13489 
200.116.239.200,200.116.239.207,isp,CO,AS13489 
200.116.239.208,200.116.239.215,education,CO,AS13489 
200.116.239.216,200.116.239.223,isp,CO,AS13489 
200.116.239.224,200.116.239.231,education,CO,AS13489 
200.116.239.232,200.116.241.255,isp,CO,AS13489 
200.116.242.0,200.116.242.7,business,CO,AS13489 
200.116.242.8,200.116.242.31,isp,CO,AS13489 
200.116.242.32,200.116.242.47,business,CO,AS13489 
200.116.242.48,200.116.242.79,isp,CO,AS13489 
200.116.242.80,200.116.242.87,business,CO,AS13489 
200.116.242.88,200.116.242.119,isp,CO,AS13489 
200.116.242.120,200.116.242.127,business,CO,AS13489 
200.116.242.128,200.116.242.159,isp,CO,AS13489 
200.116.242.160,200.116.242.167,business,CO,AS13489 
200.116.242.168,200.116.243.39,isp,CO,AS13489 
200.116.243.40,200.116.243.47,business,CO,AS13489 
200.116.243.48,200.116.243.55,isp,CO,AS13489 
200.116.243.56,200.116.243.63,business,CO,AS13489 
200.116.243.64,200.116.243.71,isp,CO,AS13489 
200.116.243.72,200.116.243.79,business,CO,AS13489 
200.116.243.80,200.116.243.111,isp,CO,AS13489 
200.116.243.112,200.116.243.119,business,CO,AS13489 
200.116.243.120,200.116.243.183,isp,CO,AS13489 
200.116.243.184,200.116.243.199,business,CO,AS13489 
200.116.243.200,200.116.243.207,isp,CO,AS13489 
200.116.243.208,200.116.243.223,business,CO,AS13489 
200.116.243.224,200.116.243.231,business,AR,AS13489 
200.116.243.232,200.116.243.239,business,CO,AS13489 
200.116.243.240,200.116.244.7,isp,CO,AS13489 
200.116.244.8,200.116.244.15,business,CO,AS13489 
200.116.244.16,200.116.244.215,isp,CO,AS13489 
200.116.244.216,200.116.244.239,business,CO,AS13489 
200.116.244.240,200.116.244.247,isp,CO,AS13489 
200.116.244.248,200.116.244.255,business,CO,AS13489 
200.116.245.0,200.116.245.31,isp,CO,AS13489 
200.116.245.32,200.116.245.39,business,CO,AS13489 
200.116.245.40,200.116.245.71,isp,CO,AS13489 
200.116.245.72,200.116.245.79,isp,EC,AS13489 
200.116.245.80,200.116.248.143,isp,CO,AS13489 
200.116.248.144,200.116.248.151,business,CO,AS13489 
200.116.248.152,200.116.249.39,isp,CO,AS13489 
200.116.249.40,200.116.249.47,business,AR,AS13489 
200.116.249.48,200.116.249.103,isp,CO,AS13489 
200.116.249.104,200.116.249.111,business,CO,AS13489 
200.116.249.112,200.116.249.215,isp,CO,AS13489 
200.116.249.216,200.116.249.223,business,CO,AS13489 
200.116.249.224,200.116.250.87,isp,CO,AS13489 
200.116.250.88,200.116.250.91,business,CO,AS13489 
200.116.250.92,200.116.250.227,isp,CO,AS13489 
200.116.250.228,200.116.250.231,business,CO,AS13489 
200.116.250.232,200.116.251.87,isp,CO,AS13489 
200.116.251.88,200.116.251.111,business,CO,AS13489 
200.116.251.112,200.116.251.143,isp,CO,AS13489 
200.116.251.144,200.116.251.151,business,CO,AS13489 
200.116.251.152,200.116.252.87,isp,CO,AS13489 
200.116.252.88,200.116.252.95,business,CO,AS13489 
200.116.252.96,200.116.253.39,isp,CO,AS13489 
200.116.253.40,200.116.253.47,business,CO,AS13489 
200.116.253.48,200.116.253.119,isp,CO,AS13489 
200.116.253.120,200.116.253.127,business,CO,AS13489 
200.116.253.128,200.116.253.143,isp,CO,AS13489 
200.116.253.144,200.116.253.159,business,CO,AS13489 
200.116.253.160,200.116.254.15,isp,CO,AS13489 
200.116.254.16,200.116.254.23,business,CO,AS13489 
200.116.254.24,200.116.254.31,isp,CO,AS13489 
200.116.254.32,200.116.254.39,isp,CL,AS13489 
200.116.254.40,200.116.254.55,isp,CO,AS13489 
200.116.254.56,200.116.254.63,business,CO,AS13489 
200.116.254.64,200.116.254.79,isp,CO,AS13489 
200.116.254.80,200.116.254.87,business,CO,AS13489 
200.116.254.88,200.116.254.191,isp,CO,AS13489 
200.116.254.192,200.116.254.207,business,CO,AS13489 
200.116.254.208,200.116.254.223,isp,CO,AS13489 
200.116.254.224,200.116.254.231,business,CO,AS13489 
200.116.254.232,200.116.254.239,isp,CO,AS13489 
200.116.254.240,200.116.254.247,business,CO,AS13489 
200.116.254.248,200.116.254.255,isp,CO,AS13489 
200.116.255.0,200.116.255.7,business,CO,AS13489 
200.116.255.8,200.116.255.63,isp,CO,AS13489 
200.116.255.64,200.116.255.71,business,CL,AS13489 
200.116.255.72,200.116.255.95,business,CO,AS13489 
200.116.255.96,200.116.255.111,isp,CO,AS13489 
200.116.255.112,200.116.255.119,business,AR,AS13489 
200.116.255.120,200.116.255.143,isp,CO,AS13489 
200.116.255.144,200.116.255.175,business,CO,AS13489 
200.116.255.176,200.116.255.191,isp,CO,AS13489 
200.116.255.192,200.116.255.211,business,CO,AS13489 
200.116.255.212,200.116.255.215,isp,CO,AS13489 
200.116.255.216,200.116.255.223,business,CO,AS13489 
200.116.255.224,200.116.255.227,isp,CO,AS13489 
200.116.255.228,200.116.255.231,business,CO,AS13489 
200.116.255.232,200.116.255.255,isp,CO,AS13489 
